District ID,District Name,School Year,Number of Students Tested,Creative/Aesthetic Skills (%) Level 1,Creative/Aesthetic Skills (%) Level 2,Creative/Aesthetic Skills (%) Level 3
288,Achievement First Hartford Academy Inc.,2008-09,84,1.2,79.8,19
279,Amistad Academy District,2008-09,85,3.5,35.3,61.2
1,Andover School District,2008-09,42,7.1,40.5,52.4
2,Ansonia School District,2008-09,222,5.9,28.8,65.3
244,Area Cooperative Educational Services,2008-09,60,0,38.3,61.7
3,Ashford School District,2008-09,48,4.2,27.1,68.8
4,Avon School District,2008-09,215,5.1,41.4,53.5
5,Barkhamsted School District,2008-09,57,5.3,31.6,63.2
7,Berlin School District,2008-09,234,1.7,29.1,69.2
8,Bethany School District,2008-09,70,14.3,54.3,31.4
9,Bethel School District,2008-09,206,1,20.9,78.2
11,Bloomfield School District,2008-09,125,20.8,59.2,20
12,Bolton School District,2008-09,48,20.8,33.3,45.8
13,Bozrah School District,2008-09,22,4.5,54.5,40.9
14,Branford School District,2008-09,218,8.3,36.2,55.5
15,Bridgeport School District,2008-09,1666,13.5,48,38.5
17,Bristol School District,2008-09,620,6.9,40,53.1
18,Brookfield School District,2008-09,191,7.3,27.7,64.9
19,Brooklyn School District,2008-09,79,3.8,19,77.2
21,Canaan School District,2008-09,9,0,77.8,22.2
22,Canterbury School District,2008-09,60,16.7,48.3,35
23,Canton School District,2008-09,135,2.2,14.8,83
241,Capitol Region Education Council,2008-09,158,4.4,29.7,65.8
24,Chaplin School District,2008-09,22,13.6,27.3,59.1
287,Charter School for Young Children on Asylum Hill,2008-09,31,29,25.8,45.2
25,Cheshire School District,2008-09,298,15.8,51,33.2
26,Chester School District,2008-09,32,3.1,18.8,78.1
27,Clinton School District,2008-09,152,12.5,67.8,19.7
28,Colchester School District,2008-09,202,7.4,25.7,66.8
29,Colebrook School District,2008-09,16,6.3,56.3,37.5
30,Columbia School District,2008-09,50,2,22,76
243,Cooperative Educational Services,2008-09,37,0,5.4,94.6
31,Cornwall School District,2008-09,12,16.7,50,33.3
32,Coventry School District,2008-09,134,3.7,29.9,66.4
33,Cromwell School District,2008-09,151,5.3,28.5,66.2
34,Danbury School District,2008-09,871,24.1,49.9,25.9
35,Darien School District,2008-09,362,2.8,15.5,81.8
36,Deep River School District,2008-09,39,2.6,84.6,12.8
37,Derby School District,2008-09,128,6.3,45.3,48.4
40,East Granby School District,2008-09,63,0,3.2,96.8
41,East Haddam School District,2008-09,101,7.9,47.5,44.6
42,East Hampton School District,2008-09,147,19.7,59.9,20.4
43,East Hartford School District,2008-09,481,10.4,46.4,43.2
44,East Haven School District,2008-09,225,8,56.9,35.1
45,East Lyme School District,2008-09,181,6.6,37.6,55.8
47,East Windsor School District,2008-09,101,3,19.8,77.2
39,Eastford School District,2008-09,13,0,61.5,38.5
46,Easton School District,2008-09,98,3.1,87.8,9.2
48,Ellington School District,2008-09,188,3.2,4.3,92.6
49,Enfield School District,2008-09,438,7.1,37.7,55.3
50,Essex School District,2008-09,70,4.3,18.6,77.1
51,Fairfield School District,2008-09,781,11.3,39.7,49
52,Farmington School District,2008-09,286,1.4,11.5,87.1
53,Franklin School District,2008-09,19,10.5,31.6,57.9
54,Glastonbury School District,2008-09,456,12.3,38.4,49.3
56,Granby School District,2008-09,141,1.4,17,81.6
57,Greenwich School District,2008-09,670,7.6,28.8,63.6
58,Griswold School District,2008-09,133,13.5,40.6,45.9
59,Groton School District,2008-09,471,13.4,38,48.6
60,Guilford School District,2008-09,256,9,41.8,49.2
62,Hamden School District,2008-09,434,21,34.1,44.9
63,Hampton School District,2008-09,14,7.1,21.4,71.4
64,Hartford School District,2008-09,1695,22.3,42.5,35.2
65,Hartland School District,2008-09,31,3.2,0,96.8
67,Hebron School District,2008-09,147,7.5,34,58.5
286,Highville Charter School District,2008-09,40,10,45,45
