District ID,District Name,School Year,Number of Students Tested,Personal/Social Skills (%) Level 1,Personal/Social Skills (%) Level 2,Personal/Social Skills (%) Level 3
1,Andover School District,2010-11,42,14.3,57.1,28.6
2,Ansonia School District,2010-11,22,50,22.7,27.3
244,Area Cooperative Educational Services,2010-11,62,16.1,32.3,51.6
3,Ashford School District,2010-11,48,10.4,31.3,58.3
4,Avon School District,2010-11,188,5.9,30.9,63.3
5,Barkhamsted School District,2010-11,47,4.3,23.4,72.3
7,Berlin School District,2010-11,208,21.2,47.1,31.7
8,Bethany School District,2010-11,53,5.7,30.2,64.2
9,Bethel School District,2010-11,162,13,38.3,48.8
11,Bloomfield School District,2010-11,190,18.9,39.5,41.6
12,Bolton School District,2010-11,57,12.3,36.8,50.9
13,Bozrah School District,2010-11,30,3.3,53.3,43.3
14,Branford School District,2010-11,215,14.4,48.8,36.7
15,Bridgeport School District,2010-11,1729,21.7,42,36.2
17,Bristol School District,2010-11,629,15.9,38.6,45.5
18,Brookfield School District,2010-11,161,8.7,33.5,57.8
19,Brooklyn School District,2010-11,95,2.1,20,77.9
21,Canaan School District,2010-11,11,18.2,36.4,45.5
22,Canterbury School District,2010-11,45,20,44.4,35.6
23,Canton School District,2010-11,123,8.9,33.3,57.7
241,Capitol Region Education Council,2010-11,255,12.2,40.4,47.5
24,Chaplin School District,2010-11,20,0,40,60
287,Charter School for Young Children on Asylum Hill,2010-11,45,15.6,26.7,57.8
25,Cheshire School District,2010-11,253,0.8,12.6,86.6
26,Chester School District,2010-11,33,0,48.5,51.5
27,Clinton School District,2010-11,161,13,44.7,42.2
28,Colchester School District,2010-11,201,12.9,43.3,43.8
29,Colebrook School District,2010-11,14,21.4,42.9,35.7
30,Columbia School District,2010-11,59,39,33.9,27.1
243,Cooperative Educational Services,2010-11,34,11.8,23.5,64.7
31,Cornwall School District,2010-11,10,10,10,80
32,Coventry School District,2010-11,125,17.6,48,34.4
33,Cromwell School District,2010-11,157,4.5,41.4,54.1
34,Danbury School District,2010-11,746,26.9,45.8,27.2
35,Darien School District,2010-11,92,0,9.8,90.2
36,Deep River School District,2010-11,48,33.3,66.7,0
37,Derby School District,2010-11,128,21.1,41.4,37.5
40,East Granby School District,2010-11,54,0,14.8,85.2
41,East Haddam School District,2010-11,80,8.8,23.8,67.5
42,East Hampton School District,2010-11,136,28.7,42.6,28.7
43,East Hartford School District,2010-11,519,21.2,47.2,31.6
44,East Haven School District,2010-11,115,13.9,40.9,45.2
45,East Lyme School District,2010-11,167,8.4,51.5,40.1
47,East Windsor School District,2010-11,91,17.6,46.2,36.3
39,Eastford School District,2010-11,23,8.7,47.8,43.5
46,Easton School District,2010-11,108,7.4,58.3,34.3
48,Ellington School District,2010-11,199,6,14.1,79.9
49,Enfield School District,2010-11,433,11.1,43.9,45
50,Essex School District,2010-11,55,7.3,40,52.7
51,Fairfield School District,2010-11,762,13.8,40.6,45.7
52,Farmington School District,2010-11,268,5.2,20.5,74.3
53,Franklin School District,2010-11,20,30,40,30
54,Glastonbury School District,2010-11,401,9.7,32.7,57.6
56,Granby School District,2010-11,110,0.9,24.5,74.5
57,Greenwich School District,2010-11,691,8.7,35.5,55.9
58,Griswold School District,2010-11,122,7.4,19.7,73
59,Groton School District,2010-11,434,27.4,44.7,27.9
60,Guilford School District,2010-11,265,4.5,15.8,79.6
62,Hamden School District,2010-11,414,21.3,40.8,37.9
63,Hampton School District,2010-11,13,15.4,46.2,38.5
65,Hartland School District,2010-11,22,0,18.2,81.8
67,Hebron School District,2010-11,110,11.8,38.2,50
286,Highville Charter School District,2010-11,33,15.2,36.4,48.5
264,Integrated Day Charter School District,2010-11,34,8.8,52.9,38.2
261,Jumoke Academy District,2010-11,43,9.3,41.9,48.8
68,Kent School District,2010-11,33,15.2,15.2,69.7
69,Killingly School District,2010-11,194,22.2,51,26.8
245,Learn,2010-11,240,21.7,37.5,40.8
71,Lebanon School District,2010-11,24,12.5,20.8,66.7
72,Ledyard School District,2010-11,162,15.4,45.1,39.5
73,Lisbon School District,2010-11,41,17.1,14.6,68.3
