District ID,District Name,School Year,Number of Students Tested,Physical/Motor Skills (%) Level 1,Physical/Motor Skills (%) Level 2,Physical/Motor Skills (%) Level 3
1,Andover School District,2010-11,42,9.5,21.4,69
2,Ansonia School District,2010-11,22,13.6,36.4,50
244,Area Cooperative Educational Services,2010-11,62,3.2,37.1,59.7
3,Ashford School District,2010-11,48,2.1,16.7,81.3
4,Avon School District,2010-11,188,3.2,20.2,76.6
5,Barkhamsted School District,2010-11,47,12.8,23.4,63.8
7,Berlin School District,2010-11,208,20.2,59.1,20.7
8,Bethany School District,2010-11,53,11.3,24.5,64.2
9,Bethel School District,2010-11,162,11.7,32.1,56.2
11,Bloomfield School District,2010-11,190,17.4,27.9,54.7
12,Bolton School District,2010-11,57,1.8,29.8,68.4
13,Bozrah School District,2010-11,30,10,43.3,46.7
14,Branford School District,2010-11,215,10.2,45.1,44.7
15,Bridgeport School District,2010-11,1729,12.8,42,45.2
17,Bristol School District,2010-11,629,9.9,40.7,49.4
18,Brookfield School District,2010-11,161,8.1,18.6,73.3
19,Brooklyn School District,2010-11,95,4.2,13.7,82.1
21,Canaan School District,2010-11,11,9.1,45.5,45.5
22,Canterbury School District,2010-11,45,13.3,44.4,42.2
23,Canton School District,2010-11,123,6.5,26.8,66.7
241,Capitol Region Education Council,2010-11,255,6.7,30.2,63.1
24,Chaplin School District,2010-11,20,0,15,85
287,Charter School for Young Children on Asylum Hill,2010-11,45,2.2,31.1,66.7
25,Cheshire School District,2010-11,253,0.8,13.4,85.8
26,Chester School District,2010-11,33,3,42.4,54.5
27,Clinton School District,2010-11,161,6.2,37.9,55.9
28,Colchester School District,2010-11,201,9,40.3,50.7
29,Colebrook School District,2010-11,14,0,64.3,35.7
30,Columbia School District,2010-11,59,25.4,44.1,30.5
243,Cooperative Educational Services,2010-11,34,0,17.6,82.4
31,Cornwall School District,2010-11,10,10,30,60
32,Coventry School District,2010-11,125,6.4,48,45.6
33,Cromwell School District,2010-11,157,2.5,15.9,81.5
34,Danbury School District,2010-11,746,21,48.5,30.4
35,Darien School District,2010-11,92,2.2,9.8,88
36,Deep River School District,2010-11,48,14.6,85.4,0
37,Derby School District,2010-11,128,10.2,38.3,51.6
40,East Granby School District,2010-11,54,1.9,11.1,87
41,East Haddam School District,2010-11,80,2.5,8.8,88.8
42,East Hampton School District,2010-11,136,28.7,37.5,33.8
43,East Hartford School District,2010-11,519,14.6,45.3,40.1
44,East Haven School District,2010-11,115,8.7,35.7,55.7
45,East Lyme School District,2010-11,167,6,45.5,48.5
47,East Windsor School District,2010-11,91,13.2,29.7,57.1
39,Eastford School District,2010-11,23,4.3,13,82.6
46,Easton School District,2010-11,108,9.3,52.8,38
48,Ellington School District,2010-11,199,2.5,9.5,87.9
49,Enfield School District,2010-11,433,4.6,46.4,49
50,Essex School District,2010-11,55,0,25.5,74.5
51,Fairfield School District,2010-11,762,10.5,34.4,55.1
