,,Creative Skills (%),,,,,
DistrictName,Number of Students Tested,Level 1,Level 2,Level 3,,,
Andover School District,28,10.7,46.4,42.9,,,
Ansonia School District,171,12.3,33.9,53.8,,,
Ashford School District,36,0.0,55.6,44.4,,,
Avon School District,173,3.5,23.1,73.4,,,
Barkhamsted School District,36,0.0,22.2,77.8,,,
Berlin School District,170,7.1,62.9,30.0,,,
Bethany School District,59,13.6,44.1,42.4,,,
Bethel School District,231,2.6,16.9,80.5,,,
Bloomfield School District,186,10.8,43.5,45.7,,,
Bolton School District,47,2.1,10.6,87.2,,,
Bozrah School District,25,0.0,68.0,32.0,,,
Branford School District,223,5.8,42.2,52.0,,,
Bridgeport School District,1828,12.1,41.2,46.7,,,
Bristol School District,579,13.0,37.8,49.2,,,
Brookfield School District,176,4.5,31.8,63.6,,,
Brooklyn School District,81,6.2,50.6,43.2,,,
Canaan School District,7,0.0,57.1,42.9,,,
Canterbury School District,43,7.0,32.6,60.5,,,
Canton School District,112,8.9,20.5,70.5,,,
Chaplin School District,27,3.7,29.6,66.7,,,
Cheshire School District,235,0.9,9.4,89.8,,,
Chester School District,32,0.0,21.9,78.1,,,
Clinton School District,130,3.1,30.8,66.2,,,
Colchester School District,170,1.2,52.4,46.5,,,
Colebrook School District,16,6.3,87.5,6.3,,,
Columbia School District,42,16.7,47.6,35.7,,,
Cornwall School District,12,0.0,41.7,58.3,,,
Coventry School District,124,6.5,41.1,52.4,,,
Cromwell School District,149,2.0,46.3,51.7,,,
Danbury School District,823,16.2,47.6,36.2,,,
Darien School District,189,3.7,10.6,85.7,,,
Deep River School District,46,6.5,67.4,26.1,,,
Derby School District,109,14.7,33.0,52.3,,,
Eastford School District,18,0.0,11.1,88.9,,,
East Granby School District,58,0.0,6.9,93.1,,,
East Haddam School District,77,3.9,41.6,54.5,,,
East Hampton School District,155,1.3,49.7,49.0,,,
East Hartford School District,524,11.6,42.2,46.2,,,
East Haven School District,225,12.4,34.2,53.3,,,
East Lyme School District,107,7.5,54.2,38.3,,,
Easton School District,85,7.1,41.2,51.8,,,
East Windsor School District,103,7.8,49.5,42.7,,,
Ellington School District,181,1.1,11.6,87.3,,,
Enfield School District,386,3.9,43.8,52.3,,,
Essex School District,48,4.2,37.5,58.3,,,
Fairfield School District,679,4.1,29.6,66.3,,,
Farmington School District,232,6.5,30.6,62.9,,,
Franklin School District,20,20.0,20.0,60.0,,,
Glastonbury School District,400,8.8,28.5,62.8,,,
Granby School District,112,0.9,2.7,96.4,,,
Greenwich School District,572,4.2,20.1,75.7,,,
Griswold School District,144,10.4,35.4,54.2,,,
Groton School District,448,14.5,49.8,35.7,,,
Guilford School District,223,7.6,18.4,74.0,,,
