,,Numeracy Skills (%),,,,,
DistrictName,Number of Students Tested,Level 1,Level 2,Level 3,,,
Andover School District,28,17.9,46.4,35.7,,,
Ansonia School District,171,18.7,33.9,47.4,,,
Ashford School District,36,8.3,41.7,50.0,,,
Avon School District,173,4.0,32.9,63.0,,,
Barkhamsted School District,36,2.8,27.8,69.4,,,
Berlin School District,170,12.9,39.4,47.6,,,
Bethany School District,59,16.9,39.0,44.1,,,
Bethel School District,231,5.2,44.2,50.6,,,
Bloomfield School District,186,24.2,43.5,32.3,,,
Bolton School District,47,10.6,23.4,66.0,,,
Bozrah School District,25,12.0,64.0,24.0,,,
Branford School District,223,16.6,43.5,39.9,,,
Bridgeport School District,1828,24.8,42.7,32.4,,,
Bristol School District,579,18.1,40.6,41.3,,,
Brookfield School District,176,17.6,42.0,40.3,,,
Brooklyn School District,81,25.9,42.0,32.1,,,
Canaan School District,7,14.3,57.1,28.6,,,
Canterbury School District,43,14.0,25.6,60.5,,,
Canton School District,112,13.4,28.6,58.0,,,
Chaplin School District,27,7.4,44.4,48.1,,,
Cheshire School District,235,2.6,17.9,79.6,,,
Chester School District,32,15.6,40.6,43.8,,,
Clinton School District,130,14.6,36.2,49.2,,,
Colchester School District,170,8.8,42.9,48.2,,,
Colebrook School District,16,,81.3,18.8,,,
Columbia School District,42,31.0,38.1,31.0,,,
Cornwall School District,12,16.7,8.3,75.0,,,
Coventry School District,124,13.7,40.3,46.0,,,
Cromwell School District,149,8.1,40.9,51.0,,,
Danbury School District,823,26.9,46.2,27.0,,,
Darien School District,189,5.8,25.4,68.8,,,
Deep River School District,46,17.4,76.1,6.5,,,
Derby School District,109,25.7,35.8,38.5,,,
Eastford School District,18,16.7,22.2,61.1,,,
East Granby School District,58,6.9,13.8,79.3,,,
East Haddam School District,77,13.0,64.9,22.1,,,
East Hampton School District,155,15.5,45.8,38.7,,,
East Hartford School District,524,21.8,47.9,30.3,,,
East Haven School District,225,25.8,38.7,35.6,,,
East Lyme School District,107,18.7,48.6,32.7,,,
Easton School District,85,10.6,63.5,25.9,,,
East Windsor School District,103,27.2,52.4,20.4,,,
Ellington School District,181,13.8,22.7,63.5,,,
Enfield School District,386,14.8,45.6,39.6,,,
Essex School District,48,10.4,45.8,43.8,,,
Fairfield School District,679,7.1,32.4,60.5,,,
Farmington School District,232,7.3,32.8,59.9,,,
Franklin School District,20,15.0,25.0,60.0,,,
Glastonbury School District,400,11.5,33.5,55.0,,,
Granby School District,112,1.8,8.0,90.2,,,
Greenwich School District,572,8.0,25.0,67.0,,,
Griswold School District,144,16.7,36.1,47.2,,,
Groton School District,448,27.2,46.0,26.8,,,
Guilford School District,223,8.1,22.9,69.1,,,
Hamden School District,379,37.5,36.7,25.9,,,
Hampton School District,19,10.5,31.6,57.9,,,
Hartford School District,1758,31.3,45.3,23.4,,,
Hartland School District,16,18.8,6.3,75.0,,,
Hebron School District,90,2.2,21.1,76.7,,,
Kent School District,25,20.0,28.0,52.0,,,
Killingly School District,172,22.7,47.7,29.7,,,
Ledyard School District,115,15.7,48.7,35.7,,,
Lisbon School District,32,9.4,28.1,62.5,,,
Litchfield School District,56,37.5,42.9,19.6,,,
Madison School District,146,4.1,24.7,71.2,,,
Manchester School District,590,36.4,45.8,17.8,,,
Mansfield School District,136,19.9,52.2,27.9,,,
Marlborough School District,53,,20.8,79.2,,,
Meriden School District,733,23.5,39.0,37.5,,,
Middletown School District,426,56.1,36.9,7.0,,,
Milford School District,466,7.5,29.8,62.7,,,
Monroe School District,191,11.0,51.8,37.2,,,
Montville School District,170,7.1,48.2,44.7,,,
Naugatuck School District,327,30.0,53.8,16.2,,,
New Britain School District,947,28.2,43.1,28.7,,,
New Canaan School District,312,5.4,32.4,62.2,,,
New Fairfield School District,148,14.2,61.5,24.3,,,
New Hartford School District,71,11.3,69.0,19.7,,,
New Haven School District,1716,32.6,42.1,25.2,,,
Newington School District,284,19.4,50.7,29.9,,,
New London School District,222,24.3,50.5,25.2,,,
New Milford School District,306,11.1,38.9,50.0,,,
Newtown School District,179,5.6,39.1,55.3,,,
Norfolk School District,16,31.3,31.3,37.5,,,
North Branford School District,108,10.2,27.8,62.0,,,
North Canaan School District,55,10.9,36.4,52.7,,,
North Haven School District,213,12.7,35.7,51.6,,,
North Stonington School District,64,7.8,9.4,82.8,,,
