,,Personal Skills (%),,,,,
DistrictName,Number of Students Tested,Level 1,Level 2,Level 3,,,
Andover School District,28,25.0,50.0,25.0,,,
Ansonia School District,171,13.5,39.2,47.4,,,
Ashford School District,36,8.3,44.4,47.2,,,
Avon School District,173,4.6,21.4,74.0,,,
Barkhamsted School District,36,11.1,30.6,58.3,,,
Berlin School District,170,11.2,52.9,35.9,,,
Bethany School District,59,22.0,42.4,35.6,,,
Bethel School District,231,5.6,32.5,61.9,,,
Bloomfield School District,186,20.4,44.1,35.5,,,
Bolton School District,47,8.5,29.8,61.7,,,
Bozrah School District,25,16.0,60.0,24.0,,,
Branford School District,223,10.8,49.3,39.9,,,
Bridgeport School District,1828,17.2,43.6,39.2,,,
Bristol School District,579,16.4,39.9,43.7,,,
Brookfield School District,176,12.5,41.5,46.0,,,
Brooklyn School District,81,25.9,30.9,43.2,,,
Canaan School District,7,14.3,57.1,28.6,,,
Canterbury School District,43,14.0,20.9,65.1,,,
Canton School District,112,8.9,23.2,67.9,,,
Chaplin School District,27,25.9,18.5,55.6,,,
Cheshire School District,235,2.1,10.6,87.2,,,
Chester School District,32,9.4,43.8,46.9,,,
Clinton School District,130,6.9,42.3,50.8,,,
Colchester School District,170,5.3,42.9,51.8,,,
Colebrook School District,16,6.3,75.0,18.8,,,
Columbia School District,42,19.0,57.1,23.8,,,
Cornwall School District,12,16.7,25.0,58.3,,,
Coventry School District,124,9.7,49.2,41.1,,,
Cromwell School District,149,6.7,50.3,43.0,,,
Danbury School District,823,18.6,48.6,32.8,,,
Darien School District,189,6.3,15.3,78.3,,,
Deep River School District,46,13.0,60.9,26.1,,,
Derby School District,109,30.3,28.4,41.3,,,
Eastford School District,18,16.7,50.0,33.3,,,
East Granby School District,58,3.4,27.6,69.0,,,
East Haddam School District,77,7.8,50.6,41.6,,,
East Hampton School District,155,3.9,49.0,47.1,,,
East Hartford School District,524,17.4,46.9,35.7,,,
East Haven School District,225,22.2,40.4,37.3,,,
East Lyme School District,107,14.0,58.9,27.1,,,
Easton School District,85,4.7,60.0,35.3,,,
East Windsor School District,103,12.6,64.1,23.3,,,
Ellington School District,181,3.9,21.0,75.1,,,
Enfield School District,386,10.1,45.9,44.0,,,
Essex School District,48,14.6,58.3,27.1,,,
Fairfield School District,679,9.3,39.3,51.4,,,
Farmington School District,232,8.6,30.2,61.2,,,
Franklin School District,20,45.0,15.0,40.0,,,
Glastonbury School District,400,11.8,27.5,60.8,,,
Granby School District,112,2.7,5.4,92.0,,,
Greenwich School District,572,7.0,33.4,59.6,,,
Griswold School District,144,12.5,54.2,33.3,,,
Groton School District,448,22.1,50.7,27.2,,,
Guilford School District,223,8.1,20.2,71.7,,,
Hamden School District,379,34.3,45.9,19.8,,,
Hampton School District,19,5.3,47.4,47.4,,,
Hartford School District,1758,26.1,45.6,28.4,,,
Hartland School District,16,,6.3,93.8,,,
Hebron School District,90,4.4,28.9,66.7,,,
Kent School District,25,12.0,24.0,64.0,,,
Killingly School District,172,19.2,52.3,28.5,,,
Ledyard School District,115,20.0,41.7,38.3,,,
Lisbon School District,32,6.3,28.1,65.6,,,
Litchfield School District,56,39.3,44.6,16.1,,,
Madison School District,146,2.7,50.0,47.3,,,
Manchester School District,590,30.0,47.6,22.4,,,
Mansfield School District,136,19.9,48.5,31.6,,,
Marlborough School District,53,1.9,32.1,66.0,,,
Meriden School District,733,20.9,36.6,42.6,,,
Middletown School District,426,48.4,37.1,14.6,,,
Milford School District,466,6.0,25.8,68.2,,,
Monroe School District,191,7.3,46.1,46.6,,,
Montville School District,170,2.4,35.9,61.8,,,
Naugatuck School District,327,22.9,50.2,26.9,,,
New Britain School District,947,19.7,42.6,37.7,,,
New Canaan School District,312,9.3,41.0,49.7,,,
New Fairfield School District,148,9.5,68.2,22.3,,,
New Hartford School District,71,1.4,84.5,14.1,,,
New Haven School District,1716,24.9,47.3,27.8,,,
Newington School District,284,17.6,50.7,31.7,,,
New London School District,222,12.2,53.2,34.7,,,
New Milford School District,306,12.7,43.1,44.1,,,
Newtown School District,179,6.7,34.1,59.2,,,
Norfolk School District,16,31.3,12.5,56.3,,,
North Branford School District,108,15.7,20.4,63.9,,,
North Canaan School District,55,10.9,49.1,40.0,,,
North Haven School District,213,7.5,38.5,54.0,,,
North Stonington School District,64,3.1,18.8,78.1,,,
Norwalk School District,940,19.8,46.0,34.3,,,
Norwich School District,374,26.5,40.4,33.2,,,
Old Saybrook School District,83,2.4,24.1,73.5,,,
Orange School District,288,13.9,49.0,37.2,,,
Oxford School District,135,4.4,13.3,82.2,,,
Plainfield School District,89,25.8,55.1,19.1,,,
Plainville School District,152,15.8,44.7,39.5,,,
Plymouth School District,90,12.2,43.3,44.4,,,
Pomfret School District,29,27.6,31.0,41.4,,,
Portland School District,106,16.0,55.7,28.3,,,
Preston School District,50,14.0,58.0,28.0,,,
Putnam School District,89,4.5,25.8,69.7,,,
Ridgefield School District,310,5.8,32.3,61.9,,,
Rocky Hill School District,164,4.3,27.4,68.3,,,
Salem School District,43,9.3,46.5,44.2,,,
Salisbury School District,29,3.4,37.9,58.6,,,
Scotland School District,10,40.0,30.0,30.0,,,
Seymour School District,169,11.8,45.0,43.2,,,
Sharon School District,24,33.3,12.5,54.2,,,
Shelton School District,304,10.9,57.9,31.3,,,
Sherman School District,24,,16.7,83.3,,,
Simsbury School District,246,4.9,31.3,63.8,,,
Somers School District,91,16.5,49.5,34.1,,,
Southington School District,422,15.4,45.7,38.9,,,
South Windsor School District,201,3.5,18.4,78.1,,,
Sprague School District,42,21.4,35.7,42.9,,,
Stafford School District,104,13.5,57.7,28.8,,,
Stamford School District,1428,18.4,45.6,36.0,,,
Sterling School District,47,42.6,44.7,12.8,,,
Stonington School District,158,7.6,37.3,55.1,,,
Stratford School District,481,12.1,32.0,55.9,,,
Suffield School District,119,4.2,51.3,44.5,,,
Thomaston School District,63,3.2,22.2,74.6,,,
Thompson School District,80,13.8,40.0,46.3,,,
Tolland School District,159,8.2,61.0,30.8,,,
Torrington School District,386,21.2,37.3,41.5,,,
Trumbull School District,410,22.9,50.5,26.6,,,
Vernon School District,263,15.2,30.8,54.0,,,
Voluntown School District,27,,18.5,81.5,,,
Wallingford School District,363,11.6,43.5,44.9,,,
Waterbury School District,1727,20.8,47.5,31.6,,,
Waterford School District,120,10.8,40.0,49.2,,,
Watertown School District,209,17.7,50.2,32.1,,,
Westbrook School District,43,11.6,39.5,48.8,,,
West Hartford School District,704,12.5,49.4,38.1,,,
West Haven School District,489,27.0,48.5,24.5,,,
Weston School District,116,3.4,26.7,69.8,,,
Westport School District,363,9.9,50.4,39.7,,,
Wethersfield School District,256,12.5,42.2,45.3,,,
Willington School District,52,11.5,63.5,25.0,,,
Wilton School District,244,3.7,20.1,76.2,,,
Windham School District,314,20.1,50.6,29.3,,,
Windsor School District,214,15.0,49.1,36.0,,,
Windsor Locks School District,132,8.3,51.5,40.2,,,
Wolcott School District,151,6.0,30.5,63.6,,,
Woodstock School District,72,9.7,31.9,58.3,,,
Regional School District 06,51,13.7,27.5,58.8,,,
Regional School District 10,81,2.5,16.0,81.5,,,
Regional School District 12,36,11.1,19.4,69.4,,,
Regional School District 13,123,5.7,42.3,52.0,,,
Regional School District 15,222,5.4,31.1,63.5,,,
Regional School District 16,170,11.2,51.8,37.1,,,
Regional School District 17,126,3.2,24.6,72.2,,,
Regional School District 18,81,6.2,29.6,64.2,,,
Capitol Region Education Council,463,14.5,37.8,47.7,,,
Cooperative Educational Services,53,1.9,30.2,67.9,,,
Learn,158,4.4,40.5,55.1,,,
Jumoke Academy District,45,4.4,35.6,60.0,,,
Integrated Day Charter School District,33,9.1,27.3,63.6,,,
Side By Side Charter School District,22,18.2,54.5,27.3,,,
Amistad Academy District,92,5.4,25.0,69.6,,,
Bridgeport Achievement First District,89,56.2,43.8,,,,
Achievement First Hartford Academy Inc. District,89,11.2,73.0,15.7,,,
Elm City College Preparatory School District,62,21.0,56.5,22.6,,,
Statewide,37447,16.04934975,42.08881886,41.86183139,,,
