District ID,District Name,School Year,Number of Students Tested,Language Skills (%) Level 1,Language Skills (%) Level 2,Language Skills (%) Level 3
,Andover School District,2012-13,28,25,39.3,35.7
,Ansonia School District,2012-13,171,19.9,32.2,48
,Ashford School District,2012-13,36,8.3,52.8,38.9
,Avon School District,2012-13,173,7.5,28.9,63.6
,Barkhamsted School District,2012-13,36,5.6,19.4,75
,Berlin School District,2012-13,170,19.4,42.4,38.2
,Bethany School District,2012-13,59,27.1,42.4,30.5
,Bethel School District,2012-13,231,11.3,43.7,45
,Bloomfield School District,2012-13,186,22,40.9,37.1
,Bolton School District,2012-13,47,17,38.3,44.7
,Bozrah School District,2012-13,25,16,60,24
,Branford School District,2012-13,223,20.2,39,40.8
,Bridgeport School District,2012-13,1828,26.1,41.5,32.4
,Bristol School District,2012-13,579,21.9,38,40.1
,Brookfield School District,2012-13,176,18.2,43.2,38.6
,Brooklyn School District,2012-13,81,28.4,38.3,33.3
,Canaan School District,2012-13,7,0,57.1,42.9
,Canterbury School District,2012-13,43,23.3,18.6,58.1
,Canton School District,2012-13,112,11.6,30.4,58
,Chaplin School District,2012-13,27,3.7,33.3,63
,Cheshire School District,2012-13,235,1.3,17,81.7
,Chester School District,2012-13,32,15.6,28.1,56.3
,Clinton School District,2012-13,130,14.6,41.5,43.8
,Colchester School District,2012-13,170,7.6,51.8,40.6
,Colebrook School District,2012-13,16,25,50,25
,Columbia School District,2012-13,42,26.2,40.5,33.3
,Cornwall School District,2012-13,12,16.7,16.7,66.7
,Coventry School District,2012-13,124,16.9,41.9,41.1
,Cromwell School District,2012-13,149,13.4,52.3,34.2
,Danbury School District,2012-13,823,30,42.9,27.1
,Darien School District,2012-13,189,7.4,27,65.6
,Deep River School District,2012-13,46,21.7,58.7,19.6
,Derby School District,2012-13,109,32.1,25.7,42.2
,Eastford School District,2012-13,18,22.2,22.2,55.6
,East Granby School District,2012-13,58,3.4,15.5,81
,East Haddam School District,2012-13,77,11.7,55.8,32.5
,East Hampton School District,2012-13,155,11,38.7,50.3
,East Hartford School District,2012-13,524,28.6,45,26.3
,East Haven School District,2012-13,225,28.4,39.6,32
,East Lyme School District,2012-13,107,24.3,47.7,28
,Easton School District,2012-13,85,10.6,40,49.4
,East Windsor School District,2012-13,103,23.3,51.5,25.2
,Ellington School District,2012-13,181,6.1,19.3,74.6
,Enfield School District,2012-13,386,16.3,39.9,43.8
,Essex School District,2012-13,48,25,45.8,29.2
