,Language,,,Literacy,,,Numeracy,,,Physical,,,Creative,,,Personal,,
DistrictName,Performance_Level_1,Performance_Level_2,Performance_Level_3,Performance_Level_1,Performance_Level_2,Performance_Level_3,Performance_Level_1,Performance_Level_2,Performance_Level_3,Performance_Level_1,Performance_Level_2,Performance_Level_3,Performance_Level_1,Performance_Level_2,Performance_Level_3,Performance_Level_1,Performance_Level_2,Performance_Level_3
Andover School District,10.3,31.0,58.6,17.2,44.8,37.9,6.9,55.2,37.9,10.3,31.0,58.6,10.3,41.4,48.3,10.3,37.9,51.7
Ansonia School District,24.4,38.8,36.9,23.8,41.9,34.4,21.3,37.5,41.3,10.6,38.8,50.6,15.0,41.3,43.8,20.0,46.3,33.8
Ashford School District,7.1,31.0,61.9,9.5,42.9,47.6,7.1,26.2,66.7,0.0,33.3,66.7,0.0,14.3,85.7,0.0,21.4,78.6
Avon School District,13.2,32.3,54.5,9.0,30.7,60.3,4.8,21.2,74.1,5.8,24.9,69.3,4.8,25.4,69.8,10.1,37.6,52.4
Barkhamsted School District,4.8,47.6,47.6,19.0,61.9,19.0,4.8,57.1,38.1,0.0,71.4,28.6,0.0,71.4,28.6,9.5,33.3,57.1
Berlin School District,36.3,44.6,19.2,36.8,40.9,22.3,31.6,47.2,21.2,19.7,58.5,21.8,25.4,54.4,20.2,29.5,52.8,17.6
Bethany School District,20.0,42.2,37.8,15.6,37.8,46.7,11.1,42.2,46.7,13.3,48.9,37.8,6.7,60.0,33.3,15.6,51.1,33.3
Bethel School District,14.7,48.4,36.9,18.9,52.1,29.0,14.3,42.4,43.3,10.6,36.4,53.0,6.9,32.7,60.4,15.7,47.0,37.3
Bloomfield School District,28.5,39.4,32.1,32.7,33.3,33.9,29.7,33.3,37.0,21.8,31.5,46.7,23.0,27.9,49.1,32.7,38.8,28.5
Bolton School District,16.7,43.8,39.6,27.1,41.7,31.3,25.0,39.6,35.4,4.2,37.5,58.3,8.3,39.6,52.1,14.6,45.8,39.6
Bozrah School District,14.3,47.6,38.1,23.8,47.6,28.6,19.0,42.9,38.1,4.8,61.9,33.3,4.8,42.9,52.4,19.0,33.3,47.6
Branford School District,22.7,54.7,22.7,21.7,47.3,31.0,16.3,57.1,26.6,11.8,61.6,26.6,9.9,60.1,30.0,17.7,59.1,23.2
Bridgeport School District,31.1,40.5,28.4,33.6,36.7,29.7,29.4,40.5,30.1,17.1,41.6,41.3,15.8,42.3,41.9,22.2,41.5,36.3
Bristol School District,19.5,41.7,38.7,21.6,44.4,34.0,19.0,45.3,35.7,12.8,38.0,49.2,14.3,33.3,52.4,17.5,45.5,37.0
Brookfield School District,18.6,40.4,41.0,21.2,34.6,44.2,17.3,38.5,44.2,9.0,33.3,57.7,8.3,35.3,56.4,12.2,45.5,42.3
Brooklyn School District,16.7,37.5,45.8,23.6,47.2,29.2,23.6,52.8,23.6,9.7,37.5,52.8,5.6,38.9,55.6,19.4,37.5,43.1
Canterbury School District,6.1,45.5,48.5,12.1,51.5,36.4,6.1,48.5,45.5,6.1,45.5,48.5,3.0,48.5,48.5,12.1,54.5,33.3
Canton School District,16.2,53.5,30.3,19.2,54.5,26.3,16.2,56.6,27.3,9.1,61.6,29.3,4.0,60.6,35.4,11.1,57.6,31.3
Chaplin School District,21.7,17.4,60.9,30.4,39.1,30.4,4.3,47.8,47.8,13.0,26.1,60.9,13.0,26.1,60.9,26.1,34.8,39.1
Cheshire School District,10.6,29.0,60.4,12.0,28.6,59.4,11.5,29.5,59.0,5.1,29.0,65.9,4.1,27.6,68.2,8.8,28.1,63.1
Clinton School District,19.6,43.2,37.2,27.0,39.9,33.1,19.6,58.1,22.3,8.8,54.1,37.2,7.4,52.7,39.9,16.2,54.1,29.7
Colchester School District,10.8,50.6,38.6,19.6,36.7,43.7,11.4,38.6,50.0,7.0,41.8,51.3,7.0,48.7,44.3,11.4,42.4,46.2
Colebrook School District,8.3,58.3,33.3,33.3,50.0,16.7,16.7,66.7,16.7,8.3,75.0,16.7,0.0,100.0,0.0,16.7,58.3,25.0
Columbia School District,19.0,33.3,47.6,19.0,28.6,52.4,26.2,23.8,50.0,14.3,50.0,35.7,9.5,35.7,54.8,19.0,19.0,61.9
Coventry School District,25.8,22.7,51.6,21.9,42.2,35.9,19.5,43.0,37.5,17.2,28.9,53.9,13.3,32.0,54.7,25.0,30.5,44.5
Cromwell School District,13.9,48.6,37.5,12.5,45.1,42.4,10.4,37.5,52.1,4.2,41.7,54.2,4.9,39.6,55.6,6.9,50.0,43.1
Danbury School District,58.8,26.4,14.8,49.2,33.3,17.5,51.6,32.2,16.2,31.1,38.9,30.0,29.6,38.2,32.1,39.3,33.3,27.5
Darien School District,6.0,26.4,67.6,6.8,22.6,70.6,3.0,24.4,72.6,3.5,18.3,78.1,3.0,17.1,79.9,5.0,27.1,67.8
Derby School District,26.8,33.9,39.3,19.6,36.6,43.8,20.5,36.6,42.9,4.5,40.2,55.4,4.5,58.0,37.5,12.5,50.0,37.5
Eastford School District,18.2,45.5,36.4,36.4,9.1,54.5,18.2,18.2,63.6,18.2,18.2,63.6,9.1,0.0,90.9,9.1,27.3,63.6
East Granby School District,3.4,27.6,69.0,3.4,20.7,75.9,0.0,13.8,86.2,1.7,3.4,94.8,0.0,6.9,93.1,3.4,15.5,81.0
East Haddam School District,32.5,41.3,26.3,38.8,43.8,17.5,28.8,56.3,15.0,8.8,42.5,48.8,7.5,51.3,41.3,22.5,41.3,36.3
East Hampton School District,11.6,37.7,50.7,12.3,21.7,65.9,9.4,39.9,50.7,1.4,45.7,52.9,7.2,47.8,44.9,8.7,30.4,60.9
East Hartford School District,35.7,45.9,18.4,36.2,42.6,21.2,33.9,46.1,20.0,19.0,47.8,33.2,23.0,46.6,30.4,29.2,45.4,25.4
East Haven School District,21.4,42.3,36.4,29.1,35.0,35.9,27.3,34.5,38.2,10.0,40.9,49.1,10.5,41.8,47.7,23.2,41.4,35.5
East Lyme School District,32.6,40.1,27.3,25.6,39.0,35.5,22.1,43.6,34.3,12.8,50.0,37.2,18.6,43.0,38.4,23.3,51.7,25.0
Easton School District,13.5,70.3,16.2,20.3,67.6,12.2,17.6,68.9,13.5,17.6,58.1,24.3,8.1,68.9,23.0,17.6,62.2,20.3
East Windsor School District,37.4,36.3,26.4,54.9,30.8,14.3,40.7,42.9,16.5,25.3,44.0,30.8,17.6,45.1,37.4,33.0,45.1,22.0
Ellington School District,4.9,18.5,76.5,7.4,25.3,67.3,6.2,21.6,72.2,1.2,13.0,85.8,0.0,9.3,90.7,2.5,17.3,80.2
Enfield School District,19.9,56.9,23.2,15.1,53.6,31.3,13.5,62.5,24.0,9.4,59.3,31.3,8.6,63.1,28.3,14.6,62.8,22.6
Fairfield School District,16.0,40.2,43.8,16.8,39.5,43.7,11.5,39.8,48.7,12.6,36.5,50.9,9.0,37.4,53.5,14.8,39.7,45.5
Farmington School District,10.6,23.3,66.1,12.7,33.1,54.3,9.0,27.8,63.3,6.9,12.2,80.8,6.1,14.7,79.2,9.4,16.7,73.9
Glastonbury School District,22.2,34.3,43.5,22.2,36.9,40.9,17.4,35.1,47.5,17.2,35.4,47.5,15.6,31.1,53.3,17.7,36.4,45.9
Granby School District,5.5,17.4,77.1,7.3,25.7,67.0,3.7,10.1,86.2,2.8,8.3,89.0,1.8,11.9,86.2,2.8,17.4,79.8
Greenwich School District,18.0,41.0,41.0,17.6,33.3,49.1,11.4,37.5,51.1,6.6,31.2,62.2,7.2,27.6,65.2,10.0,36.9,53.1
Griswold School District,18.5,63.0,18.5,24.7,57.5,17.8,15.8,65.8,18.5,8.9,61.6,29.5,11.6,52.7,35.6,13.0,56.2,30.8
Groton School District,26.4,45.1,28.5,30.7,38.8,30.5,26.8,41.4,31.8,17.6,41.6,40.7,15.9,44.7,39.4,21.4,40.5,38.1
Guilford School District,8.7,32.1,59.2,11.2,37.8,51.0,5.1,33.2,61.7,1.5,30.6,67.9,1.0,33.2,65.8,4.6,31.1,64.3
Hamden School District,25.1,45.2,29.7,23.7,43.3,33.0,22.2,43.6,34.2,13.1,48.7,38.2,15.0,46.4,38.6,19.2,47.1,33.7
Hartford School District,33.1,45.4,21.5,36.5,42.8,20.6,34.3,45.2,20.6,17.8,52.6,29.7,17.5,54.4,28.2,25.3,49.3,25.4
Hartland School District,0.0,16.7,83.3,0.0,11.1,88.9,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,5.6,94.4
Hebron School District,6.9,31.0,62.1,10.3,34.5,55.2,8.0,28.7,63.2,3.4,26.4,70.1,4.6,25.3,70.1,3.4,36.8,59.8
Kent School District,20.0,56.0,24.0,36.0,32.0,32.0,28.0,40.0,32.0,20.0,60.0,20.0,0.0,48.0,52.0,0.0,40.0,60.0
Killingly School District,26.6,44.3,29.1,26.6,41.8,31.6,24.1,40.5,35.4,17.7,50.0,32.3,11.4,51.3,37.3,18.4,39.9,41.8
Lebanon School District,18.6,44.2,37.2,20.9,34.9,44.2,16.3,34.9,48.8,11.6,46.5,41.9,4.7,53.5,41.9,14.0,53.5,32.6
Ledyard School District,17.5,41.5,40.9,20.5,34.5,45.0,16.4,37.4,46.2,11.1,40.9,48.0,10.5,39.8,49.7,12.9,44.4,42.7
Lisbon School District,25.0,35.0,40.0,25.0,30.0,45.0,25.0,30.0,45.0,10.0,40.0,50.0,20.0,30.0,50.0,20.0,45.0,35.0
Litchfield School District,13.8,75.9,10.3,27.6,65.5,6.9,13.8,67.2,19.0,6.9,63.8,29.3,15.5,58.6,25.9,43.1,46.6,10.3
Madison School District,6.5,37.3,56.2,11.8,31.4,56.9,5.9,24.2,69.9,3.9,30.7,65.4,3.9,34.6,61.4,7.8,35.3,56.9
Manchester School District,46.1,37.1,16.8,44.5,39.2,16.3,43.8,39.2,17.0,35.6,42.7,21.6,34.4,43.4,22.2,42.6,40.1,17.4
Mansfield School District,24.1,42.0,33.9,23.2,42.0,34.8,15.2,44.6,40.2,9.8,53.6,36.6,7.1,48.2,44.6,17.9,51.8,30.4
Marlborough School District,3.5,15.8,80.7,7.0,19.3,73.7,3.5,31.6,64.9,1.8,17.5,80.7,3.5,10.5,86.0,5.3,10.5,84.2
