DistrictID,District,School Year,Number of Students Tested,Literacy Skills (%) Level 1,Literacy Skills (%) Level 2,Literacy Skills (%) Level 3
,Andover School District,2013-14,,17.2,44.8,37.9
,Ansonia School District,2013-14,,23.8,41.9,34.4
,Ashford School District,2013-14,,9.5,42.9,47.6
,Avon School District,2013-14,,9,30.7,60.3
,Barkhamsted School District,2013-14,,19,61.9,19
,Berlin School District,2013-14,,36.8,40.9,22.3
,Bethany School District,2013-14,,15.6,37.8,46.7
,Bethel School District,2013-14,,18.9,52.1,29
,Bloomfield School District,2013-14,,32.7,33.3,33.9
,Bolton School District,2013-14,,27.1,41.7,31.3
,Bozrah School District,2013-14,,23.8,47.6,28.6
,Branford School District,2013-14,,21.7,47.3,31
,Bridgeport School District,2013-14,,33.6,36.7,29.7
,Bristol School District,2013-14,,21.6,44.4,34
,Brookfield School District,2013-14,,21.2,34.6,44.2
,Brooklyn School District,2013-14,,23.6,47.2,29.2
,Canterbury School District,2013-14,,12.1,51.5,36.4
,Canton School District,2013-14,,19.2,54.5,26.3
,Chaplin School District,2013-14,,30.4,39.1,30.4
,Cheshire School District,2013-14,,12,28.6,59.4
,Clinton School District,2013-14,,27,39.9,33.1
,Colchester School District,2013-14,,19.6,36.7,43.7
,Colebrook School District,2013-14,,33.3,50,16.7
,Columbia School District,2013-14,,19,28.6,52.4
,Coventry School District,2013-14,,21.9,42.2,35.9
,Cromwell School District,2013-14,,12.5,45.1,42.4
,Danbury School District,2013-14,,49.2,33.3,17.5
,Darien School District,2013-14,,6.8,22.6,70.6
,Derby School District,2013-14,,19.6,36.6,43.8
,Eastford School District,2013-14,,36.4,9.1,54.5
,East Granby School District,2013-14,,3.4,20.7,75.9
,East Haddam School District,2013-14,,38.8,43.8,17.5
,East Hampton School District,2013-14,,12.3,21.7,65.9
,East Hartford School District,2013-14,,36.2,42.6,21.2
,East Haven School District,2013-14,,29.1,35,35.9
,East Lyme School District,2013-14,,25.6,39,35.5
,Easton School District,2013-14,,20.3,67.6,12.2
,East Windsor School District,2013-14,,54.9,30.8,14.3
,Ellington School District,2013-14,,7.4,25.3,67.3
,Enfield School District,2013-14,,15.1,53.6,31.3
,Fairfield School District,2013-14,,16.8,39.5,43.7
,Farmington School District,2013-14,,12.7,33.1,54.3
,Glastonbury School District,2013-14,,22.2,36.9,40.9
,Granby School District,2013-14,,7.3,25.7,67
,Greenwich School District,2013-14,,17.6,33.3,49.1
,Griswold School District,2013-14,,24.7,57.5,17.8
,Groton School District,2013-14,,30.7,38.8,30.5
,Guilford School District,2013-14,,11.2,37.8,51
,Hamden School District,2013-14,,23.7,43.3,33
,Hartford School District,2013-14,,36.5,42.8,20.6
,Hartland School District,2013-14,,0,11.1,88.9
,Hebron School District,2013-14,,10.3,34.5,55.2
,Kent School District,2013-14,,36,32,32
,Killingly School District,2013-14,,26.6,41.8,31.6
,Lebanon School District,2013-14,,20.9,34.9,44.2
,Ledyard School District,2013-14,,20.5,34.5,45
,Lisbon School District,2013-14,,25,30,45
,Litchfield School District,2013-14,,27.6,65.5,6.9
,Madison School District,2013-14,,11.8,31.4,56.9
,Manchester School District,2013-14,,44.5,39.2,16.3
,Mansfield School District,2013-14,,23.2,42,34.8
,Marlborough School District,2013-14,,7,19.3,73.7
,Meriden School District,2013-14,,38.9,36,25.1
,Middletown School District,2013-14,,28.4,43.4,28.2
,Milford School District,2013-14,,13.9,36.8,49.3
,Monroe School District,2013-14,,20.1,47.4,32.5
,Montville School District,2013-14,,13.9,42.2,43.9
,Naugatuck School District,2013-14,,22.9,45.7,31.4
,New Britain School District,2013-14,,52.5,34.1,13.4
,New Canaan School District,2013-14,,11.5,31.5,57
,New Fairfield School District,2013-14,,13.6,45.7,40.7
,New Hartford School District,2013-14,,3.8,58.5,37.7
,New Haven School District,2013-14,,31.1,41.9,26.9
,Newington School District,2013-14,,20.2,47.7,32.2
,New London School District,2013-14,,36.2,40.3,23.5
,New Milford School District,2013-14,,29.5,35.8,34.7
,Newtown School District,2013-14,,9.4,36.1,54.5
,Norfolk School District,2013-14,,14.3,28.6,57.1
,North Branford School District,2013-14,,31.5,35.4,33.1
,North Canaan School District,2013-14,,0,50,50
,North Haven School District,2013-14,,28.2,47.7,24.1
,North Stonington School District,2013-14,,3.6,21.4,75
,Norwalk School District,2013-14,,30.4,39.8,29.8
,Norwich School District,2013-14,,30.6,48,21.4
,Old Saybrook School District,2013-14,,22.7,40,37.3
,Orange School District,2013-14,,12.3,23.6,64.2
,Oxford School District,2013-14,,17.2,15.5,67.2
,Plainfield School District,2013-14,,43.9,35.1,20.9
,Plainville School District,2013-14,,17.7,42.9,39.4
,Plymouth School District,2013-14,,19.1,43.6,37.3
,Pomfret School District,2013-14,,17.9,67.9,14.3
,Portland School District,2013-14,,13.3,61.1,25.6
,Preston School District,2013-14,,19.4,58.3,22.2
,Putnam School District,2013-14,,22.1,10.6,67.3
,Redding School District,2013-14,,19,44,36.9
,Ridgefield School District,2013-14,,8.1,16.8,75.2
,Rocky Hill School District,2013-14,,20.3,32,47.7
,Salem School District,2013-14,,19.5,39,41.5
,Seymour School District,2013-14,,17,42.3,40.7
,Shelton School District,2013-14,,28.8,40.2,31
,Sherman School District,2013-14,,4,32,64
,Simsbury School District,2013-14,,8.3,28.7,63
,Somers School District,2013-14,,23.9,33.8,42.3
,Southington School District,2013-14,,18.1,57.1,24.8
,South Windsor School District,2013-14,,20.2,41.8,38
,Sprague School District,2013-14,,18.2,36.4,45.5
,Stafford School District,2013-14,,22,44.7,33.3
,Stamford School District,2013-14,,25,42.8,32.3
,Sterling School District,2013-14,,41.7,45.8,12.5
,Stonington School District,2013-14,,15,24.4,60.6
,Stratford School District,2013-14,,17.7,37.6,44.7
,Suffield School District,2013-14,,17.3,44.4,38.3
,Thomaston School District,2013-14,,23.2,37.5,39.3
,Thompson School District,2013-14,,38.7,41.9,19.4
,Tolland School District,2013-14,,19.7,50,30.3
,Torrington School District,2013-14,,44.3,29.9,25.8
,Trumbull School District,2013-14,,18.3,46.3,35.4
,Union School District,2013-14,,25,12.5,62.5
,Vernon School District,2013-14,,20.7,34,45.3
,Voluntown School District,2013-14,,4,8,88
,Wallingford School District,2013-14,,18.7,38.9,42.4
,Waterbury School District,2013-14,,34.4,43.5,22
,Waterford School District,2013-14,,18.1,37,44.9
,Watertown School District,2013-14,,16.4,48,35.6
,Westbrook School District,2013-14,,14.9,29.8,55.3
,West Hartford School District,2013-14,,19.3,39,41.8
,West Haven School District,2013-14,,35.6,39.3,25.1
,Weston School District,2013-14,,18.9,49.2,31.8
,Westport School District,2013-14,,18.2,52.1,29.8
,Wethersfield School District,2013-14,,18.3,51.6,30.2
,Willington School District,2013-14,,22,53.7,24.4
,Wilton School District,2013-14,,1.2,18.6,80.2
,Winchester School District,2013-14,,38.3,36.2,25.5
,Windham School District,2013-14,,30.8,37.4,31.8
,Windsor School District,2013-14,,28.4,40.4,31.3
,Windsor Locks School District,2013-14,,18.3,50.5,31.2
,Wolcott School District,2013-14,,26.8,26,47.2
,Woodbridge School District,2013-14,,29.8,52.4,17.9
,Woodstock School District,2013-14,,20,35,45
,Regional School District 01,2013-14,,18.8,30,51.3
,Regional School District 04,2013-14,,28.1,48.8,23.1
,Regional School District 06,2013-14,,14.6,39,46.3
,Regional School District 10,2013-14,,6.6,33.1,60.2
,Regional School District 12,2013-14,,33.3,27.3,39.4
,Regional School District 13,2013-14,,20.2,55.1,24.7
,Regional School District 14,2013-14,,36.2,41.9,21.9
,Regional School District 15,2013-14,,17.2,41.8,40.9
,Regional School District 16,2013-14,,23.6,41.9,34.5
,Regional School District 17,2013-14,,7,23.8,69.2
,Regional School District 18,2013-14,,3.9,41.6,54.5
,Capitol Region Education Council,2013-14,,16.5,31.6,51.9
,Cooperative Educational Services,2013-14,,7.5,47.5,45
,Area Cooperative Educational Services,2013-14,,25.7,33.8,40.5
,Learn,2013-14,,21.1,31.3,47.6
,Jumoke Academy District,2013-14,,11.9,31.3,56.7
,Integrated Day Charter School District,2013-14,,23.3,43.3,33.3
,Side By Side Charter School District,2013-14,,4.5,40.9,54.5
,Amistad Academy District,2013-14,,3.3,13.3,83.3
,New Beginnings Inc. Family Academy District,2013-14,,22,48.8,29.3
,Bridgeport Achievement First District,2013-14,,50,45.6,4.4
,Achievement First Hartford Academy Inc. District,2013-14,,17.8,33.3,48.9
,Elm City College Preparatory School District,2013-14,,11.3,24.2,64.5
