DistrictID,District,School Year,Number of Students Tested,Numeracy Skills (%) Level 1,Numeracy Skills (%) Level 2,Numeracy Skills (%) Level 3
,Andover School District,2013-14,,6.9,55.2,37.9
,Ansonia School District,2013-14,,21.3,37.5,41.3
,Ashford School District,2013-14,,7.1,26.2,66.7
,Avon School District,2013-14,,4.8,21.2,74.1
,Barkhamsted School District,2013-14,,4.8,57.1,38.1
,Berlin School District,2013-14,,31.6,47.2,21.2
,Bethany School District,2013-14,,11.1,42.2,46.7
,Bethel School District,2013-14,,14.3,42.4,43.3
,Bloomfield School District,2013-14,,29.7,33.3,37
,Bolton School District,2013-14,,25,39.6,35.4
,Bozrah School District,2013-14,,19,42.9,38.1
,Branford School District,2013-14,,16.3,57.1,26.6
,Bridgeport School District,2013-14,,29.4,40.5,30.1
,Bristol School District,2013-14,,19,45.3,35.7
,Brookfield School District,2013-14,,17.3,38.5,44.2
,Brooklyn School District,2013-14,,23.6,52.8,23.6
,Canterbury School District,2013-14,,6.1,48.5,45.5
,Canton School District,2013-14,,16.2,56.6,27.3
,Chaplin School District,2013-14,,4.3,47.8,47.8
,Cheshire School District,2013-14,,11.5,29.5,59
,Clinton School District,2013-14,,19.6,58.1,22.3
,Colchester School District,2013-14,,11.4,38.6,50
,Colebrook School District,2013-14,,16.7,66.7,16.7
,Columbia School District,2013-14,,26.2,23.8,50
,Coventry School District,2013-14,,19.5,43,37.5
,Cromwell School District,2013-14,,10.4,37.5,52.1
,Danbury School District,2013-14,,51.6,32.2,16.2
,Darien School District,2013-14,,3,24.4,72.6
,Derby School District,2013-14,,20.5,36.6,42.9
,Eastford School District,2013-14,,18.2,18.2,63.6
,East Granby School District,2013-14,,0,13.8,86.2
,East Haddam School District,2013-14,,28.8,56.3,15
,East Hampton School District,2013-14,,9.4,39.9,50.7
,East Hartford School District,2013-14,,33.9,46.1,20
,East Haven School District,2013-14,,27.3,34.5,38.2
,East Lyme School District,2013-14,,22.1,43.6,34.3
,Easton School District,2013-14,,17.6,68.9,13.5
,East Windsor School District,2013-14,,40.7,42.9,16.5
,Ellington School District,2013-14,,6.2,21.6,72.2
,Enfield School District,2013-14,,13.5,62.5,24
,Fairfield School District,2013-14,,11.5,39.8,48.7
,Farmington School District,2013-14,,9,27.8,63.3
,Glastonbury School District,2013-14,,17.4,35.1,47.5
,Granby School District,2013-14,,3.7,10.1,86.2
,Greenwich School District,2013-14,,11.4,37.5,51.1
,Griswold School District,2013-14,,15.8,65.8,18.5
,Groton School District,2013-14,,26.8,41.4,31.8
,Guilford School District,2013-14,,5.1,33.2,61.7
,Hamden School District,2013-14,,22.2,43.6,34.2
,Hartford School District,2013-14,,34.3,45.2,20.6
,Hartland School District,2013-14,,0,0,100
,Hebron School District,2013-14,,8,28.7,63.2
,Kent School District,2013-14,,28,40,32
,Killingly School District,2013-14,,24.1,40.5,35.4
,Lebanon School District,2013-14,,16.3,34.9,48.8
,Ledyard School District,2013-14,,16.4,37.4,46.2
,Lisbon School District,2013-14,,25,30,45
,Litchfield School District,2013-14,,13.8,67.2,19
,Madison School District,2013-14,,5.9,24.2,69.9
,Manchester School District,2013-14,,43.8,39.2,17
,Mansfield School District,2013-14,,15.2,44.6,40.2
,Marlborough School District,2013-14,,3.5,31.6,64.9
,Meriden School District,2013-14,,34.8,38.8,26.4
,Middletown School District,2013-14,,25.5,45.1,29.4
,Milford School District,2013-14,,6.5,36.1,57.4
,Monroe School District,2013-14,,16.5,52.6,30.9
,Montville School District,2013-14,,9.4,42.2,48.3
,Naugatuck School District,2013-14,,19.7,49.2,31.1
,New Britain School District,2013-14,,50.5,36,13.5
,New Canaan School District,2013-14,,6.7,28.9,64.4
,New Fairfield School District,2013-14,,13,49.4,37.7
,New Hartford School District,2013-14,,0,66,34
,New Haven School District,2013-14,,30,41.5,28.5
,Newington School District,2013-14,,16.3,53.5,30.2
,New London School District,2013-14,,28,47.3,24.7
,New Milford School District,2013-14,,21.8,43.2,35.1
,Newtown School District,2013-14,,7.4,30.7,61.9
,Norfolk School District,2013-14,,14.3,50,35.7
,North Branford School District,2013-14,,30.8,40.8,28.5
,North Canaan School District,2013-14,,0,45.5,54.5
,North Haven School District,2013-14,,24.1,50.3,25.6
,North Stonington School District,2013-14,,1.8,10.7,87.5
,Norwalk School District,2013-14,,25.5,42.1,32.4
,Norwich School District,2013-14,,30.1,48.8,21.1
,Old Saybrook School District,2013-14,,21.3,50.7,28
,Orange School District,2013-14,,6.6,30.2,63.2
,Oxford School District,2013-14,,9.5,17.2,73.3
,Plainfield School District,2013-14,,35.8,41.9,22.3
,Plainville School District,2013-14,,13.7,47.4,38.9
,Plymouth School District,2013-14,,15.5,40.9,43.6
,Pomfret School District,2013-14,,14.3,42.9,42.9
,Portland School District,2013-14,,10,73.3,16.7
,Preston School District,2013-14,,25,55.6,19.4
,Putnam School District,2013-14,,12.5,20.2,67.3
,Redding School District,2013-14,,14.3,50,35.7
,Ridgefield School District,2013-14,,4.2,20.6,75.2
,Rocky Hill School District,2013-14,,15,31.4,53.6
,Salem School District,2013-14,,2.4,41.5,56.1
,Seymour School District,2013-14,,12.6,44,43.4
,Shelton School District,2013-14,,21.4,44.1,34.5
,Sherman School District,2013-14,,4,24,72
,Simsbury School District,2013-14,,6.5,23.5,70
,Somers School District,2013-14,,12.7,38,49.3
,Southington School District,2013-14,,14.5,57.4,28.1
,South Windsor School District,2013-14,,19.2,38.7,42.1
,Sprague School District,2013-14,,15.2,39.4,45.5
,Stafford School District,2013-14,,15.4,39.8,44.7
,Stamford School District,2013-14,,21.2,41.5,37.3
,Sterling School District,2013-14,,33.3,52.1,14.6
,Stonington School District,2013-14,,7.1,27.6,65.4
,Stratford School District,2013-14,,14.2,41.7,44.1
,Suffield School District,2013-14,,3.8,39.8,56.4
,Thomaston School District,2013-14,,14.3,35.7,50
,Thompson School District,2013-14,,38.7,53.2,8.1
,Tolland School District,2013-14,,15.5,52.1,32.4
,Torrington School District,2013-14,,37.4,32.2,30.4
,Trumbull School District,2013-14,,10.7,50.7,38.6
,Union School District,2013-14,,37.5,37.5,25
,Vernon School District,2013-14,,15.6,33.2,51.2
,Voluntown School District,2013-14,,0,4,96
,Wallingford School District,2013-14,,16.4,39.2,44.4
,Waterbury School District,2013-14,,32,45,23
,Waterford School District,2013-14,,11,39.4,49.6
,Watertown School District,2013-14,,11.9,41.2,46.9
,Westbrook School District,2013-14,,10.6,21.3,68.1
,West Hartford School District,2013-14,,15.8,43.9,40.3
,West Haven School District,2013-14,,31.1,42.4,26.4
