DistrictID,District,School Year,Number of Students Tested,Personal/Social Skills (%) Level 1,Personal/Social Skills (%) Level 2,Personal/Social Skills (%) Level 3
,Andover School District,2013-14,,10.3,37.9,51.7
,Ansonia School District,2013-14,,20,46.3,33.8
,Ashford School District,2013-14,,0,21.4,78.6
,Avon School District,2013-14,,10.1,37.6,52.4
,Barkhamsted School District,2013-14,,9.5,33.3,57.1
,Berlin School District,2013-14,,29.5,52.8,17.6
,Bethany School District,2013-14,,15.6,51.1,33.3
,Bethel School District,2013-14,,15.7,47,37.3
,Bloomfield School District,2013-14,,32.7,38.8,28.5
,Bolton School District,2013-14,,14.6,45.8,39.6
,Bozrah School District,2013-14,,19,33.3,47.6
,Branford School District,2013-14,,17.7,59.1,23.2
,Bridgeport School District,2013-14,,22.2,41.5,36.3
,Bristol School District,2013-14,,17.5,45.5,37
,Brookfield School District,2013-14,,12.2,45.5,42.3
,Brooklyn School District,2013-14,,19.4,37.5,43.1
,Canterbury School District,2013-14,,12.1,54.5,33.3
,Canton School District,2013-14,,11.1,57.6,31.3
,Chaplin School District,2013-14,,26.1,34.8,39.1
,Cheshire School District,2013-14,,8.8,28.1,63.1
,Clinton School District,2013-14,,16.2,54.1,29.7
,Colchester School District,2013-14,,11.4,42.4,46.2
,Colebrook School District,2013-14,,16.7,58.3,25
,Columbia School District,2013-14,,19,19,61.9
,Coventry School District,2013-14,,25,30.5,44.5
,Cromwell School District,2013-14,,6.9,50,43.1
,Danbury School District,2013-14,,39.3,33.3,27.5
,Darien School District,2013-14,,5,27.1,67.8
,Derby School District,2013-14,,12.5,50,37.5
,Eastford School District,2013-14,,9.1,27.3,63.6
,East Granby School District,2013-14,,3.4,15.5,81
,East Haddam School District,2013-14,,22.5,41.3,36.3
,East Hampton School District,2013-14,,8.7,30.4,60.9
,East Hartford School District,2013-14,,29.2,45.4,25.4
,East Haven School District,2013-14,,23.2,41.4,35.5
,East Lyme School District,2013-14,,23.3,51.7,25
,Easton School District,2013-14,,17.6,62.2,20.3
,East Windsor School District,2013-14,,33,45.1,22
,Ellington School District,2013-14,,2.5,17.3,80.2
,Enfield School District,2013-14,,14.6,62.8,22.6
,Fairfield School District,2013-14,,14.8,39.7,45.5
,Farmington School District,2013-14,,9.4,16.7,73.9
,Glastonbury School District,2013-14,,17.7,36.4,45.9
,Granby School District,2013-14,,2.8,17.4,79.8
,Greenwich School District,2013-14,,10,36.9,53.1
,Griswold School District,2013-14,,13,56.2,30.8
,Groton School District,2013-14,,21.4,40.5,38.1
,Guilford School District,2013-14,,4.6,31.1,64.3
,Hamden School District,2013-14,,19.2,47.1,33.7
,Hartford School District,2013-14,,25.3,49.3,25.4
,Hartland School District,2013-14,,0,5.6,94.4
,Hebron School District,2013-14,,3.4,36.8,59.8
,Kent School District,2013-14,,0,40,60
,Killingly School District,2013-14,,18.4,39.9,41.8
,Lebanon School District,2013-14,,14,53.5,32.6
,Ledyard School District,2013-14,,12.9,44.4,42.7
,Lisbon School District,2013-14,,20,45,35
,Litchfield School District,2013-14,,43.1,46.6,10.3
,Madison School District,2013-14,,7.8,35.3,56.9
,Manchester School District,2013-14,,42.6,40.1,17.4
,Mansfield School District,2013-14,,17.9,51.8,30.4
,Marlborough School District,2013-14,,5.3,10.5,84.2
,Meriden School District,2013-14,,25.5,43.9,30.6
,Middletown School District,2013-14,,25.2,42.9,31.9
,Milford School District,2013-14,,6.2,35.6,58.1
,Monroe School District,2013-14,,14.4,49,36.6
,Montville School District,2013-14,,11.7,38.3,50
,Naugatuck School District,2013-14,,14.6,35.9,49.5
,New Britain School District,2013-14,,39.7,45.1,15.3
,New Canaan School District,2013-14,,3.3,36.7,60
,New Fairfield School District,2013-14,,5.6,48.8,45.7
,New Hartford School District,2013-14,,1.9,50.9,47.2
,New Haven School District,2013-14,,19.8,47.2,33.1
,Newington School District,2013-14,,15.5,50,34.5
,New London School District,2013-14,,20.2,37,42.8
,New Milford School District,2013-14,,22.5,47.2,30.3
,Newtown School District,2013-14,,5.7,33.6,60.7
,Norfolk School District,2013-14,,0,35.7,64.3
,North Branford School District,2013-14,,33.1,36.2,30.8
,North Canaan School District,2013-14,,0,18.2,81.8
,North Haven School District,2013-14,,17.4,53.3,29.2
,North Stonington School District,2013-14,,0,23.2,76.8
,Norwalk School District,2013-14,,22.2,47.8,29.9
,Norwich School District,2013-14,,32.2,42.8,24.9
,Old Saybrook School District,2013-14,,18.7,25.3,56
,Orange School District,2013-14,,4.7,23.6,71.7
,Oxford School District,2013-14,,5.2,18.1,76.7
,Plainfield School District,2013-14,,24.3,50,25.7
,Plainville School District,2013-14,,17.1,41.7,41.1
,Plymouth School District,2013-14,,7.3,54.5,38.2
,Pomfret School District,2013-14,,21.4,60.7,17.9
,Portland School District,2013-14,,16.7,58.9,24.4
,Preston School District,2013-14,,11.1,63.9,25
,Putnam School District,2013-14,,8.7,21.2,70.2
,Redding School District,2013-14,,9.5,44,46.4
,Ridgefield School District,2013-14,,3.5,24.5,71.9
,Rocky Hill School District,2013-14,,15,24.2,60.8
,Salem School District,2013-14,,14.6,41.5,43.9
,Seymour School District,2013-14,,13.2,37.9,48.9
,Shelton School District,2013-14,,18.9,46.6,34.5
,Sherman School District,2013-14,,8,8,84
,Simsbury School District,2013-14,,6.5,19.6,73.9
,Somers School District,2013-14,,15.5,43.7,40.8
,Southington School District,2013-14,,16.1,54.5,29.5
,South Windsor School District,2013-14,,21.2,30.5,48.3
,Sprague School District,2013-14,,12.1,30.3,57.6
,Stafford School District,2013-14,,12.2,44.7,43.1
,Stamford School District,2013-14,,17.2,43.9,38.8
,Sterling School District,2013-14,,33.3,50,16.7
,Stonington School District,2013-14,,6.3,26,67.7
,Stratford School District,2013-14,,12.6,42.9,44.5
,Suffield School District,2013-14,,3,36.8,60.2
,Thomaston School District,2013-14,,5.4,30.4,64.3
,Thompson School District,2013-14,,29,51.6,19.4
,Tolland School District,2013-14,,10.6,72.5,16.9
,Torrington School District,2013-14,,29.6,35.9,34.5
,Trumbull School District,2013-14,,16.7,46.8,36.5
,Union School District,2013-14,,12.5,12.5,75
,Vernon School District,2013-14,,13.7,33.2,53.1
,Voluntown School District,2013-14,,0,12,88
,Wallingford School District,2013-14,,12.7,46.1,41.2
,Waterbury School District,2013-14,,24.5,47.2,28.3
,Waterford School District,2013-14,,11,38.6,50.4
,Watertown School District,2013-14,,7.3,54.2,38.4
,Westbrook School District,2013-14,,6.4,25.5,68.1
,West Hartford School District,2013-14,,14.3,46.6,39.1
,West Haven School District,2013-14,,20.4,50.4,29.1
,Weston School District,2013-14,,12.1,49.2,38.6
,Westport School District,2013-14,,23.4,51.2,25.3
,Wethersfield School District,2013-14,,12.3,55.2,32.5
,Willington School District,2013-14,,34.1,31.7,34.1
,Wilton School District,2013-14,,2.5,19,78.5
,Winchester School District,2013-14,,29.8,38.3,31.9
,Windham School District,2013-14,,22.7,42.3,35
,Windsor School District,2013-14,,13.9,47.1,38.9
,Windsor Locks School District,2013-14,,11.9,55,33
,Wolcott School District,2013-14,,13.4,44.1,42.5
,Woodbridge School District,2013-14,,31,64.3,4.8
,Woodstock School District,2013-14,,13.8,31.3,55
,Regional School District 01,2013-14,,6.3,36.3,57.5
,Regional School District 04,2013-14,,24.8,47.1,28.1
,Regional School District 06,2013-14,,2.4,56.1,41.5
,Regional School District 10,2013-14,,11.4,34.3,54.2
,Regional School District 12,2013-14,,9.1,33.3,57.6
,Regional School District 13,2013-14,,6.7,48.3,44.9
,Regional School District 14,2013-14,,41,46.7,12.4
,Regional School District 15,2013-14,,7.8,52.6,39.7
,Regional School District 16,2013-14,,10.8,62.8,26.4
,Regional School District 17,2013-14,,6.3,25.2,68.5
,Regional School District 18,2013-14,,1.3,10.4,88.3
,Capitol Region Education Council,2013-14,,11.4,33.9,54.7
,Cooperative Educational Services,2013-14,,2.5,30,67.5
,Area Cooperative Educational Services,2013-14,,23,37.8,39.2
,Learn,2013-14,,17.9,40.7,41.5
,Jumoke Academy District,2013-14,,7.5,41.8,50.7
,Integrated Day Charter School District,2013-14,,3.3,46.7,50
,Side By Side Charter School District,2013-14,,0,36.4,63.6
,Amistad Academy District,2013-14,,3.3,18.9,77.8
,New Beginnings Inc. Family Academy District,2013-14,,7.3,61,31.7
,Bridgeport Achievement First District,2013-14,,45.6,50,4.4
,Achievement First Hartford Academy Inc. District,2013-14,,13.3,33.3,53.3
,Elm City College Preparatory School District,2013-14,,12.9,41.9,45.2
