DistrictID,District,School Year,Number of Students Tested,Physical/Motor Skills (%) Level 1,Physical/Motor Skills (%) Level 2,Physical/Motor Skills (%) Level 3
,Andover School District,2013-14,,10.3,31,58.6
,Ansonia School District,2013-14,,10.6,38.8,50.6
,Ashford School District,2013-14,,0,33.3,66.7
,Avon School District,2013-14,,5.8,24.9,69.3
,Barkhamsted School District,2013-14,,0,71.4,28.6
,Berlin School District,2013-14,,19.7,58.5,21.8
,Bethany School District,2013-14,,13.3,48.9,37.8
,Bethel School District,2013-14,,10.6,36.4,53
,Bloomfield School District,2013-14,,21.8,31.5,46.7
,Bolton School District,2013-14,,4.2,37.5,58.3
,Bozrah School District,2013-14,,4.8,61.9,33.3
,Branford School District,2013-14,,11.8,61.6,26.6
,Bridgeport School District,2013-14,,17.1,41.6,41.3
,Bristol School District,2013-14,,12.8,38,49.2
,Brookfield School District,2013-14,,9,33.3,57.7
,Brooklyn School District,2013-14,,9.7,37.5,52.8
,Canterbury School District,2013-14,,6.1,45.5,48.5
,Canton School District,2013-14,,9.1,61.6,29.3
,Chaplin School District,2013-14,,13,26.1,60.9
,Cheshire School District,2013-14,,5.1,29,65.9
,Clinton School District,2013-14,,8.8,54.1,37.2
,Colchester School District,2013-14,,7,41.8,51.3
,Colebrook School District,2013-14,,8.3,75,16.7
,Columbia School District,2013-14,,14.3,50,35.7
,Coventry School District,2013-14,,17.2,28.9,53.9
,Cromwell School District,2013-14,,4.2,41.7,54.2
,Danbury School District,2013-14,,31.1,38.9,30
,Darien School District,2013-14,,3.5,18.3,78.1
,Derby School District,2013-14,,4.5,40.2,55.4
,Eastford School District,2013-14,,18.2,18.2,63.6
,East Granby School District,2013-14,,1.7,3.4,94.8
,East Haddam School District,2013-14,,8.8,42.5,48.8
,East Hampton School District,2013-14,,1.4,45.7,52.9
,East Hartford School District,2013-14,,19,47.8,33.2
,East Haven School District,2013-14,,10,40.9,49.1
,East Lyme School District,2013-14,,12.8,50,37.2
,Easton School District,2013-14,,17.6,58.1,24.3
,East Windsor School District,2013-14,,25.3,44,30.8
,Ellington School District,2013-14,,1.2,13,85.8
,Enfield School District,2013-14,,9.4,59.3,31.3
,Fairfield School District,2013-14,,12.6,36.5,50.9
,Farmington School District,2013-14,,6.9,12.2,80.8
,Glastonbury School District,2013-14,,17.2,35.4,47.5
,Granby School District,2013-14,,2.8,8.3,89
,Greenwich School District,2013-14,,6.6,31.2,62.2
,Griswold School District,2013-14,,8.9,61.6,29.5
,Groton School District,2013-14,,17.6,41.6,40.7
,Guilford School District,2013-14,,1.5,30.6,67.9
,Hamden School District,2013-14,,13.1,48.7,38.2
,Hartford School District,2013-14,,17.8,52.6,29.7
,Hartland School District,2013-14,,0,0,100
,Hebron School District,2013-14,,3.4,26.4,70.1
,Kent School District,2013-14,,20,60,20
,Killingly School District,2013-14,,17.7,50,32.3
,Lebanon School District,2013-14,,11.6,46.5,41.9
,Ledyard School District,2013-14,,11.1,40.9,48
,Lisbon School District,2013-14,,10,40,50
,Litchfield School District,2013-14,,6.9,63.8,29.3
,Madison School District,2013-14,,3.9,30.7,65.4
,Manchester School District,2013-14,,35.6,42.7,21.6
,Mansfield School District,2013-14,,9.8,53.6,36.6
,Marlborough School District,2013-14,,1.8,17.5,80.7
,Meriden School District,2013-14,,20.3,43.6,36
,Middletown School District,2013-14,,15.9,53.2,30.9
,Milford School District,2013-14,,3.8,23.4,72.7
,Monroe School District,2013-14,,7.7,42.3,50
,Montville School District,2013-14,,7.2,36.7,56.1
,Naugatuck School District,2013-14,,11.4,38.4,50.2
,New Britain School District,2013-14,,29.5,46.9,23.6
,New Canaan School District,2013-14,,1.5,27.4,71.1
,New Fairfield School District,2013-14,,6.2,44.4,49.4
,New Hartford School District,2013-14,,1.9,54.7,43.4
,New Haven School District,2013-14,,12.6,44.5,42.9
,Newington School District,2013-14,,8.9,45,46.1
,New London School District,2013-14,,11.5,36.2,52.3
,New Milford School District,2013-14,,10.7,51.3,38
,Newtown School District,2013-14,,3.7,23.8,72.5
,Norfolk School District,2013-14,,0,28.6,71.4
,North Branford School District,2013-14,,16.9,50,33.1
,North Canaan School District,2013-14,,0,22.7,77.3
,North Haven School District,2013-14,,12.3,35.9,51.8
,North Stonington School District,2013-14,,0,5.4,94.6
,Norwalk School District,2013-14,,10.3,50.2,39.6
,Norwich School District,2013-14,,14.1,51.2,34.7
,Old Saybrook School District,2013-14,,17.3,24,58.7
,Orange School District,2013-14,,3.8,22.6,73.6
,Oxford School District,2013-14,,8.6,6,85.3
,Plainfield School District,2013-14,,12.2,61.5,26.4
,Plainville School District,2013-14,,12,40,48
,Plymouth School District,2013-14,,8.2,50.9,40.9
,Pomfret School District,2013-14,,3.6,39.3,57.1
,Portland School District,2013-14,,11.1,70,18.9
,Preston School District,2013-14,,19.4,63.9,16.7
,Putnam School District,2013-14,,1.9,13.5,84.6
,Redding School District,2013-14,,7.1,40.5,52.4
,Ridgefield School District,2013-14,,1.6,18.1,80.3
,Rocky Hill School District,2013-14,,8.5,24.2,67.3
,Salem School District,2013-14,,0,29.3,70.7
,Seymour School District,2013-14,,16.5,36.3,47.3
,Shelton School District,2013-14,,17.1,51.6,31.3
,Sherman School District,2013-14,,0,24,76
,Simsbury School District,2013-14,,3.9,28.3,67.8
,Somers School District,2013-14,,12.7,28.2,59.2
,Southington School District,2013-14,,9.4,48.9,41.7
,South Windsor School District,2013-14,,7.9,32.2,59.9
,Sprague School District,2013-14,,9.1,18.2,72.7
,Stafford School District,2013-14,,6.5,31.7,61.8
,Stamford School District,2013-14,,8.3,40.4,51.3
,Sterling School District,2013-14,,18.8,52.1,29.2
,Stonington School District,2013-14,,3.1,26.8,70.1
,Stratford School District,2013-14,,6.9,35.4,57.7
,Suffield School District,2013-14,,5.3,34.6,60.2
,Thomaston School District,2013-14,,3.6,30.4,66.1
,Thompson School District,2013-14,,16.1,66.1,17.7
,Tolland School District,2013-14,,18.3,59.2,22.5
,Torrington School District,2013-14,,23.2,34.2,42.6
,Trumbull School District,2013-14,,5.3,46.8,47.9
,Union School District,2013-14,,12.5,62.5,25
,Vernon School District,2013-14,,12.5,31.3,56.3
,Voluntown School District,2013-14,,0,20,80
,Wallingford School District,2013-14,,5.8,36,58.2
,Waterbury School District,2013-14,,19.5,48.3,32.1
,Waterford School District,2013-14,,4.7,40.2,55.1
,Watertown School District,2013-14,,9,44.6,46.3
,Westbrook School District,2013-14,,6.4,17,76.6
,West Hartford School District,2013-14,,8.8,43.9,47.3
,West Haven School District,2013-14,,10.7,54.7,34.7
,Weston School District,2013-14,,5.3,34.1,60.6
,Westport School District,2013-14,,9.6,54.3,36.1
,Wethersfield School District,2013-14,,5.2,42.9,52
,Willington School District,2013-14,,14.6,58.5,26.8
,Wilton School District,2013-14,,0.4,17.4,82.2
,Winchester School District,2013-14,,18.1,38.3,43.6
,Windham School District,2013-14,,7.7,38.1,54.2
,Windsor School District,2013-14,,10.6,42.3,47.1
,Windsor Locks School District,2013-14,,5.5,40.4,54.1
,Wolcott School District,2013-14,,14.2,39.4,46.5
,Woodbridge School District,2013-14,,14.3,76.2,9.5
,Woodstock School District,2013-14,,13.8,27.5,58.8
,Regional School District 01,2013-14,,6.3,38.8,55
,Regional School District 04,2013-14,,13.2,39.7,47.1
,Regional School District 06,2013-14,,12.2,29.3,58.5
,Regional School District 10,2013-14,,9,35.5,55.4
,Regional School District 12,2013-14,,9.1,63.6,27.3
,Regional School District 13,2013-14,,4.5,49.4,46.1
,Regional School District 14,2013-14,,35.2,42.9,21.9
,Regional School District 15,2013-14,,3.9,43.5,52.6
,Regional School District 16,2013-14,,5.4,68.2,26.4
,Regional School District 17,2013-14,,2.1,19.6,78.3
,Regional School District 18,2013-14,,1.3,24.7,74
,Capitol Region Education Council,2013-14,,6.6,28.8,64.6
,Cooperative Educational Services,2013-14,,0,15,85
,Area Cooperative Educational Services,2013-14,,10.8,28.4,60.8
,Learn,2013-14,,5.7,32.9,61.4
,Jumoke Academy District,2013-14,,7.5,25.4,67.2
,Integrated Day Charter School District,2013-14,,0,36.7,63.3
,Side By Side Charter School District,2013-14,,0,18.2,81.8
,Amistad Academy District,2013-14,,1.1,8.9,90
,New Beginnings Inc. Family Academy District,2013-14,,4.9,56.1,39
,Bridgeport Achievement First District,2013-14,,48.9,45.6,5.6
