District ID,DistrictName,School Year,Number of Students Tested,Literacy Skills (%) Level 1,Literacy Skills (%) Level 2,Literacy Skills (%) Level 3
,Andover School District,2013-2014,,21.4,46.4,32.1
,Ansonia School District,2013-2014,,19.3,33.9,46.8
,Ashford School District,2013-2014,,13.9,41.7,44.4
,Avon School District,2013-2014,,6.4,34.7,59.0
,Barkhamsted School District,2013-2014,,5.6,25.0,69.4
,Berlin School District,2013-2014,,16.5,41.8,41.8
,Bethany School District,2013-2014,,35.6,20.3,44.1
,Bethel School District,2013-2014,,12.6,44.2,43.3
,Bloomfield School District,2013-2014,,30.1,36.6,33.3
,Bolton School District,2013-2014,,14.9,29.8,55.3
,Bozrah School District,2013-2014,,28.0,48.0,24.0
,Branford School District,2013-2014,,18.4,40.4,41.3
,Bridgeport School District,2013-2014,,26.3,41.4,32.4
,Bristol School District,2013-2014,,24.7,41.1,34.2
,Brookfield School District,2013-2014,,29.0,36.4,34.7
,Brooklyn School District,2013-2014,,30.9,32.1,37.0
,Canaan School District,2013-2014,,14.3,71.4,14.3
,Canterbury School District,2013-2014,,20.9,27.9,51.2
,Canton School District,2013-2014,,14.3,26.8,58.9
,Chaplin School District,2013-2014,,7.4,48.1,44.4
,Cheshire School District,2013-2014,,4.3,18.7,77.0
,Chester School District,2013-2014,,28.1,40.6,31.3
,Clinton School District,2013-2014,,18.5,36.2,45.4
,Colchester School District,2013-2014,,14.1,61.2,24.7
,Colebrook School District,2013-2014,,18.8,56.3,25.0
,Columbia School District,2013-2014,,26.2,40.5,33.3
,Cornwall School District,2013-2014,,8.3,16.7,75.0
,Coventry School District,2013-2014,,12.9,38.7,48.4
,Cromwell School District,2013-2014,,13.4,38.9,47.7
,Danbury School District,2013-2014,,28.1,43.0,28.9
,Darien School District,2013-2014,,9.5,27.5,63.0
,Deep River School District,2013-2014,,21.7,65.2,13.0
,Derby School District,2013-2014,,28.4,33.0,38.5
,Eastford School District,2013-2014,,33.3,33.3,33.3
,East Granby School District,2013-2014,,6.9,17.2,75.9
,East Haddam School District,2013-2014,,16.9,55.8,27.3
,East Hampton School District,2013-2014,,14.2,39.4,46.5
,East Hartford School District,2013-2014,,29.8,42.9,27.3
,East Haven School District,2013-2014,,27.6,35.1,37.3
,East Lyme School District,2013-2014,,18.7,49.5,31.8
,Easton School District,2013-2014,,10.6,43.5,45.9
,East Windsor School District,2013-2014,,34.0,47.6,18.4
,Ellington School District,2013-2014,,14.4,19.3,66.3
,Enfield School District,2013-2014,,14.0,45.3,40.7
,Essex School District,2013-2014,,20.8,45.8,33.3
,Fairfield School District,2013-2014,,10.0,33.4,56.6
,Farmington School District,2013-2014,,10.8,31.9,57.3
,Franklin School District,2013-2014,,25.0,45.0,30.0
,Glastonbury School District,2013-2014,,14.3,30.3,55.5
,Granby School District,2013-2014,,4.5,11.6,83.9
,Greenwich School District,2013-2014,,11.0,34.4,54.5
,Griswold School District,2013-2014,,26.4,38.2,35.4
,Groton School District,2013-2014,,33.7,42.0,24.3
,Guilford School District,2013-2014,,7.2,25.6,67.3
,Hamden School District,2013-2014,,34.8,36.9,28.2
,Hampton School District,2013-2014,,5.3,31.6,63.2
,Hartford School District,2013-2014,,33.4,41.3,25.3
,Hartland School District,2013-2014,,12.5,12.5,75.0
,Hebron School District,2013-2014,,7.8,18.9,73.3
,Kent School District,2013-2014,,20.0,28.0,52.0
,Killingly School District,2013-2014,,31.4,43.0,25.6
,Ledyard School District,2013-2014,,20.0,44.3,35.7
,Lisbon School District,2013-2014,,9.4,31.3,59.4
,Litchfield School District,2013-2014,,32.1,42.9,25.0
,Madison School District,2013-2014,,8.2,24.7,67.1
,Manchester School District,2013-2014,,38.1,42.9,19.0
,Mansfield School District,2013-2014,,27.2,41.9,30.9
,Marlborough School District,2013-2014,,3.8,20.8,75.5
,Meriden School District,2013-2014,,25.6,36.2,38.2
,Middletown School District,2013-2014,,59.4,32.2,8.5
,Milford School District,2013-2014,,12.2,30.5,57.3
,Monroe School District,2013-2014,,12.0,43.5,44.5
,Montville School District,2013-2014,,16.5,37.6,45.9
,Naugatuck School District,2013-2014,,33.6,49.2,17.1
,New Britain School District,2013-2014,,30.1,41.9,28.0
,New Canaan School District,2013-2014,,8.0,38.1,53.8
,New Fairfield School District,2013-2014,,17.6,57.4,25.0
,New Hartford School District,2013-2014,,16.9,60.6,22.5
,New Haven School District,2013-2014,,31.4,42.4,26.2
,Newington School District,2013-2014,,21.5,51.1,27.5
,New London School District,2013-2014,,29.3,41.4,29.3
,New Milford School District,2013-2014,,18.0,35.9,46.1
,Newtown School District,2013-2014,,13.4,35.2,51.4
,Norfolk School District,2013-2014,,25.0,25.0,50.0
,North Branford School District,2013-2014,,12.0,28.7,59.3
,North Canaan School District,2013-2014,,18.2,40.0,41.8
,North Haven School District,2013-2014,,15.0,39.4,45.5
,North Stonington School District,2013-2014,,10.9,7.8,81.3
,Norwalk School District,2013-2014,,27.8,41.2,31.1
,Norwich School District,2013-2014,,28.3,51.3,20.3
,Old Saybrook School District,2013-2014,,6.0,19.3,74.7
,Orange School District,2013-2014,,18.4,39.6,42.0
,Oxford School District,2013-2014,,5.2,18.5,76.3
,Plainfield School District,2013-2014,,25.8,42.7,31.5
,Plainville School District,2013-2014,,17.8,38.8,43.4
,Plymouth School District,2013-2014,,11.1,38.9,50.0
,Pomfret School District,2013-2014,,17.2,48.3,34.5
,Portland School District,2013-2014,,15.1,60.4,24.5
,Preston School District,2013-2014,,18.0,54.0,28.0
,Putnam School District,2013-2014,,5.6,38.2,56.2
,Ridgefield School District,2013-2014,,12.3,32.6,55.2
,Rocky Hill School District,2013-2014,,7.3,20.1,72.6
,Salem School District,2013-2014,,16.3,16.3,67.4
,Salisbury School District,2013-2014,,31.0,13.8,55.2
,Scotland School District,2013-2014,,20.0,40.0,40.0
,Seymour School District,2013-2014,,23.7,43.2,33.1
,Sharon School District,2013-2014,,12.5,33.3,54.2
,Shelton School District,2013-2014,,27.0,43.4,29.6
,Sherman School District,2013-2014,,4.2,16.7,79.2
,Simsbury School District,2013-2014,,4.1,21.5,74.4
,Somers School District,2013-2014,,26.4,25.3,48.4
,Southington School District,2013-2014,,19.4,50.5,30.1
,South Windsor School District,2013-2014,,9.5,35.3,55.2
,Sprague School District,2013-2014,,11.9,31.0,57.1
,Stafford School District,2013-2014,,27.9,39.4,32.7
,Stamford School District,2013-2014,,28.8,38.9,32.3
,Sterling School District,2013-2014,,40.4,29.8,29.8
,Stonington School District,2013-2014,,20.9,29.1,50.0
,Stratford School District,2013-2014,,17.9,33.5,48.6
,Suffield School District,2013-2014,,12.6,45.4,42.0
,Thomaston School District,2013-2014,,9.5,31.7,58.7
,Thompson School District,2013-2014,,16.3,35.0,48.8
,Tolland School District,2013-2014,,3.1,69.8,27.0
,Torrington School District,2013-2014,,29.5,41.5,29.0
,Trumbull School District,2013-2014,,26.3,51.5,22.2
,Vernon School District,2013-2014,,19.8,28.9,51.3
,Voluntown School District,2013-2014,,3.7,18.5,77.8
,Wallingford School District,2013-2014,,15.2,39.7,45.2
,Waterbury School District,2013-2014,,28.0,46.1,25.9
,Waterford School District,2013-2014,,20.8,25.0,54.2
,Watertown School District,2013-2014,,15.8,48.3,35.9
,Westbrook School District,2013-2014,,18.6,41.9,39.5
,West Hartford School District,2013-2014,,18.2,39.8,42.0
,West Haven School District,2013-2014,,34.8,47.9,17.4
,Weston School District,2013-2014,,4.3,27.6,68.1
,Westport School District,2013-2014,,14.9,38.3,46.8
,Wethersfield School District,2013-2014,,14.8,36.3,48.8
,Willington School District,2013-2014,,19.2,42.3,38.5
,Wilton School District,2013-2014,,4.9,15.2,79.9
,Windham School District,2013-2014,,30.6,43.3,26.1
,Windsor School District,2013-2014,,22.9,34.6,42.5
,Windsor Locks School District,2013-2014,,11.4,48.5,40.2
,Wolcott School District,2013-2014,,14.6,27.8,57.6
,Woodstock School District,2013-2014,,11.1,22.2,66.7
,Regional School District 06,2013-2014,,13.7,29.4,56.9
,Regional School District 10,2013-2014,,6.2,24.7,69.1
,Regional School District 12,2013-2014,,13.9,38.9,47.2
,Regional School District 13,2013-2014,,13.0,47.2,39.8
,Regional School District 15,2013-2014,,13.1,36.5,50.5
,Regional School District 16,2013-2014,,27.1,50.0,22.9
,Regional School District 17,2013-2014,,4.8,17.5,77.8
,Regional School District 18,2013-2014,,9.9,38.3,51.9
,Capitol Region Education Council,2013-2014,,17.5,34.3,48.2
,Cooperative Educational Services,2013-2014,,7.5,32.1,60.4
,Learn,2013-2014,,10.1,46.2,43.7
,Jumoke Academy District,2013-2014,,8.9,57.8,33.3
,Integrated Day Charter School District,2013-2014,,12.1,36.4,51.5
,Side By Side Charter School District,2013-2014,,4.5,36.4,59.1
,Amistad Academy District,2013-2014,,4.3,26.1,69.6
,Bridgeport Achievement First District,2013-2014,,65.2,34.8,0.0
,Achievement First Hartford Academy Inc. District,2013-2014,,7.9,70.8,21.3
,Elm City College Preparatory School District,2013-2014,,12.9,58.1,29.0
