District ID,DistrictName,School Year,Number of Students Tested,Physical/Motor Skills (%) Level 1 ,Physical/Motor Skills (%) Level 2,Physical/Motor Skills (%) Level 3
,Andover School District,2013-2014,,25.0,32.1,42.9
,Ansonia School District,2013-2014,,10.5,39.8,49.7
,Ashford School District,2013-2014,,5.6,44.4,50.0
,Avon School District,2013-2014,,1.7,22.0,76.3
,Barkhamsted School District,2013-2014,,0.0,13.9,86.1
,Berlin School District,2013-2014,,7.6,62.4,30.0
,Bethany School District,2013-2014,,11.9,44.1,44.1
,Bethel School District,2013-2014,,1.7,23.8,74.5
,Bloomfield School District,2013-2014,,16.1,39.8,44.1
,Bolton School District,2013-2014,,0.0,12.8,87.2
,Bozrah School District,2013-2014,,4.0,72.0,24.0
,Branford School District,2013-2014,,8.1,44.8,47.1
,Bridgeport School District,2013-2014,,13.0,42.4,44.6
,Bristol School District,2013-2014,,13.6,41.8,44.6
,Brookfield School District,2013-2014,,6.8,34.1,59.1
,Brooklyn School District,2013-2014,,18.5,37.0,44.4
,Canaan School District,2013-2014,,0.0,100.0,0.0
,Canterbury School District,2013-2014,,7.0,23.3,69.8
,Canton School District,2013-2014,,8.0,25.0,67.0
,Chaplin School District,2013-2014,,11.1,48.1,40.7
,Cheshire School District,2013-2014,,0.9,6.4,92.8
,Chester School District,2013-2014,,0.0,15.6,84.4
,Clinton School District,2013-2014,,3.8,29.2,66.9
,Colchester School District,2013-2014,,1.2,63.5,35.3
,Colebrook School District,2013-2014,,6.3,56.3,37.5
,Columbia School District,2013-2014,,11.9,54.8,33.3
,Cornwall School District,2013-2014,,0.0,25.0,75.0
,Coventry School District,2013-2014,,8.1,46.0,46.0
,Cromwell School District,2013-2014,,4.7,45.0,50.3
,Danbury School District,2013-2014,,16.0,41.2,42.8
,Darien School District,2013-2014,,4.2,13.2,82.5
,Deep River School District,2013-2014,,10.9,65.2,23.9
,Derby School District,2013-2014,,14.7,29.4,56.0
,Eastford School District,2013-2014,,11.1,22.2,66.7
,East Granby School District,2013-2014,,1.7,8.6,89.7
