unique(KEIyrsvars.noNAS$District)
Achievement First Hartford Academy Inc. District
Amistad Academy District
Andover School District
Ansonia School District
Area Cooperative Educational Services
Ashford School District
Avon School District
Barkhamsted School District
Berlin School District
Bethany School District
Bethel School District
Bloomfield School District
Bolton School District
Bozrah School District
Branford School District
Bridgeport School District
Bristol School District
Brookfield School District
Brooklyn School District
Canaan School District
Canterbury School District
Canton School District
Capitol Region Education Council
Chaplin School District
Charter School for Young Children on Asylum Hill
Cheshire School District
Chester School District
Clinton School District
Colchester School District
Colebrook School District
Columbia School District
Cooperative Educational Services
Cornwall School District
Coventry School District
Cromwell School District
Danbury School District
Darien School District
Deep River School District
Derby School District
East Granby School District
East Haddam School District
East Hampton School District
East Hartford School District
East Haven School District
East Lyme School District
East Windsor School District
Eastford School District
Easton School District
Ellington School District
Enfield School District
Essex School District
Fairfield School District
Farmington School District
Franklin School District
Glastonbury School District
Granby School District
Greenwich School District
Griswold School District
Groton School District
Guilford School District
Hamden School District
Hampton School District
Hartford School District
Hartland School District
Hebron School District
Highville Mustard Seed Charter School District
Integrated Day Charter School District
Jumoke Academy District
Kent School District
Killingly School District
Learn
Lebanon School District
Ledyard School District
Lisbon School District
Litchfield School District
Madison School District
Manchester School District
Mansfield School District
Marlborough School District
Meriden School District
Middletown School District
Milford School District
Monroe School District
Montville School District
Naugatuck School District
New Beginnings Inc. Family Academy District
New Britain School District
New Canaan School District
New Fairfield School District
New Hartford School District
New Haven School District
New London School District
New Milford School District
Newington School District
Newtown School District
Norfolk School District
North Branford School District
North Canaan School District
North Haven School District
North Stonington School District
Norwalk School District
Norwich School District
Old Saybrook School District
Orange School District
Oxford School District
Plainfield School District
Plainville School District
Plymouth School District
Pomfret School District
Portland School District
Preston School District
Putnam School District
Redding School District
Regional School District 06
Regional School District 10
Regional School District 12
Regional School District 13
Regional School District 14
Regional School District 15
Regional School District 16
Regional School District 17
Regional School District 18
Ridgefield School District
Rocky Hill School District
Salem School District
Salisbury School District
Scotland School District
Seymour School District
Sharon School District
Shelton School District
Sherman School District
Side By Side Charter School District
Simsbury School District
Somers School District
South Windsor School District
Southington School District
Sprague School District
Stafford School District
Stamford School District
Sterling School District
Stonington School District
Stratford School District
Suffield School District
Thomaston School District
Thompson School District
Tolland School District
Torrington School District
Trumbull School District
Union School District
Vernon School District
Voluntown School District
Wallingford School District
Waterbury School District
Waterford School District
Watertown School District
West Hartford School District
West Haven School District
Westbrook School District
Weston School District
Westport School District
Wethersfield School District
Willington School District
Wilton School District
Winchester School District
Windham School District
Windsor Locks School District
Windsor School District
Wolcott School District
Woodbridge School District
Woodstock School District
Connecticut
Elm City College Preparatory School District
Bridgeport Achievement First District
Regional School District 01
Regional School District 04
